sample_id,total_dist,state_hex,current_status,strong_status,current_steps,strong_steps,same_steps,current_expanded,strong_expanded,expanded_ratio_current_over_strong,current_states,strong_states,current_sec,strong_sec,time_ratio_current_over_strong,current_h0,strong_h0
1,34,0xC18602FE9743DA5B,solved,solved,18,18,1,3121,15141,0.206129,79644,375811,0.012785,0.107245,0.119209,17,18
2,22,0xFEC2DB18A7493065,solved,solved,13,13,1,1283,71,18.070423,31669,2023,0.006110,0.002232,2.737623,11,11
3,30,0x4C0EF1A63D857B92,solved,solved,18,18,1,185943,8092,22.978621,3857628,192802,1.341055,0.053984,24.841668,15,16
4,40,0x723F4C6B0D1AE985,solved,solved,20,20,1,5852,5070,1.154241,153462,133196,0.022790,0.032709,0.696736,20,20
5,26,0x56739FD8AEBC1402,solved,solved,14,14,1,255,539,0.473098,6835,14527,0.002612,0.005208,0.501661,13,14
6,30,0x9D5AE24CB31086F7,solved,solved,16,16,1,1295,2594,0.499229,33465,65931,0.005983,0.016976,0.352454,15,16
7,32,0x2CB8463F17AD5E90,solved,solved,18,18,1,81758,2363,34.599238,1816651,61905,0.445505,0.016384,27.191658,16,16
8,40,0x82B7C10E4563FDA9,solved,solved,20,20,1,387,324,1.194444,10539,8761,0.003010,0.003597,0.836845,20,20
9,28,0x86F49D7EC210AB53,solved,solved,16,16,1,4267,3040,1.403618,101774,75913,0.013943,0.019238,0.724731,14,14
10,34,0x971BEC3580FD264A,solved,solved,18,18,1,4427,4644,0.953273,111361,119185,0.015775,0.031766,0.496592,17,18
11,36,0xB274DE65913FC80A,solved,solved,19,19,1,23561,4721,4.990680,578560,121613,0.079680,0.030279,2.631505,18,19
12,36,0x2DC3B071A84EF965,solved,solved,19,19,1,10828,54843,0.197436,273042,1241931,0.035240,0.365060,0.096531,18,19
13,40,0x8701D236F9BA5C4E,solved,solved,20,20,1,945,499,1.893788,24947,13329,0.005256,0.005129,1.024759,20,20
