sample_id,worker_id,verified_id,total_dist,state_hex,status,exact_steps,astar_steps,match,exact_expanded,astar_expanded,exact_sec,astar_sec
1,0,-1,34,0xC18602FE9743DA5B,exact_cap,-1,-1,0,62876554,0,141.189992,0.000000
2,0,0,22,0xFEC2DB18A7493065,verified,13,13,1,8551314,1283,13.086890,0.006459
3,0,-1,30,0x4C0EF1A63D857B92,exact_cap,-1,-1,0,62876554,0,144.646706,0.000000
4,0,-1,40,0x723F4C6B0D1AE985,exact_cap,-1,-1,0,62876554,0,127.729540,0.000000
5,0,1,26,0x56739FD8AEBC1402,verified,14,14,1,15250642,255,34.628156,0.004998
6,0,-1,30,0x9D5AE24CB31086F7,exact_cap,-1,-1,0,62876554,0,125.582398,0.000000
7,0,-1,32,0x2CB8463F17AD5E90,exact_cap,-1,-1,0,62876554,0,124.081813,0.000000
8,0,-1,40,0x82B7C10E4563FDA9,exact_cap,-1,-1,0,62876554,0,123.997308,0.000000
9,0,-1,28,0x86F49D7EC210AB53,exact_cap,-1,-1,0,62876554,0,124.269657,0.000000
10,0,-1,34,0x971BEC3580FD264A,exact_cap,-1,-1,0,62876554,0,123.938449,0.000000
11,0,-1,36,0xB274DE65913FC80A,exact_cap,-1,-1,0,62876554,0,124.909473,0.000000
12,0,-1,36,0x2DC3B071A84EF965,exact_cap,-1,-1,0,62876554,0,126.079191,0.000000
13,0,-1,40,0x8701D236F9BA5C4E,exact_cap,-1,-1,0,62876554,0,128.488709,0.000000
14,0,2,24,0x7BC2F01D6E48395A,verified,14,14,1,15250642,1845,37.640794,0.011480
15,0,3,30,0x12E9B385F4C07DA6,verified,15,15,1,62876554,468,93.560821,0.008294
