case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,1,10,"q10_case2",1,10240,5120,5120,512,4606,1021,9,0.254967
1,1,10,"q10_case2",2,10240,2626048,2620928,512,4604,1020,9,0.288209
1,1,10,"q10_case2",3,10240,5246484,2620436,512,4602,1019,9,0.319582
1,1,10,"q10_case2",4,10240,7866973,2620489,512,4600,1018,9,0.349896
1,1,10,"q10_case2",5,10240,10487040,2620067,512,4598,1017,9,0.380674
1,1,10,"q10_case2",6,10240,13106871,2619831,512,4596,1016,9,0.409949
1,1,10,"q10_case2",7,10240,15726664,2619793,512,4594,1015,9,0.440658
1,1,10,"q10_case2",8,10240,18346360,2619696,512,4592,1014,9,0.473751
1,1,10,"q10_case2",9,10240,20965981,2619621,512,4590,1013,9,0.504780
1,1,10,"q10_case2",10,10240,23585704,2619723,512,4588,1012,9,0.535220
1,1,10,"q10_case2",11,10240,26205560,2619856,512,4586,1011,9,0.565287
1,1,10,"q10_case2",12,10240,28825566,2620006,512,4584,1010,9,0.595626
1,1,10,"q10_case2",13,10240,31445874,2620308,512,4582,1010,9,0.626701
1,1,10,"q10_case2",14,10240,34066513,2620639,512,4580,1009,9,0.657787
1,1,10,"q10_case2",15,10240,36686933,2620420,512,4578,1009,9,0.688250
1,1,10,"q10_case2",16,10240,39307824,2620891,512,4576,1008,9,0.718298
1,1,10,"q10_case2",17,10240,41928256,2620432,512,4574,1008,9,0.750079
1,1,10,"q10_case2",18,10240,44549149,2620893,512,4572,1008,9,0.780714
1,1,10,"q10_case2",19,10240,47169589,2620440,512,4570,1008,9,0.818705
1,1,10,"q10_case2",20,10240,49790046,2620457,512,4568,1008,9,0.850364
1,1,10,"q10_case2",21,10240,52410704,2620658,512,4566,1008,9,0.885557
1,1,10,"q10_case2",22,10240,55031314,2620610,512,4564,1008,9,0.916250
1,1,10,"q10_case2",23,10240,57651926,2620612,512,4562,1007,9,0.947050
1,1,10,"q10_case2",24,10240,60272448,2620522,512,4560,1007,9,0.979133
1,1,10,"q10_case2",25,10240,62893367,2620919,512,4558,1006,9,1.009517
1,1,10,"q10_case2",26,10240,65513790,2620423,512,4556,1006,9,1.039695
1,1,10,"q10_case2",27,10240,68134680,2620890,512,4554,1005,9,1.073038
1,1,10,"q10_case2",28,10240,70755113,2620433,512,4552,1005,9,1.103275
1,1,10,"q10_case2",29,10240,73376004,2620891,512,4550,1005,9,1.134152
1,1,10,"q10_case2",30,10240,75996440,2620436,512,4548,1005,9,1.164920
1,1,10,"q10_case2",31,10240,78616940,2620500,512,4546,1005,9,1.195885
1,1,10,"q10_case2",32,10240,81237470,2620530,512,4544,1005,9,1.226404
1,1,10,"q10_case2",33,10240,83858143,2620673,512,4542,1004,9,1.260209
1,1,10,"q10_case2",34,10240,86478672,2620529,512,4540,1004,9,1.289102
1,1,10,"q10_case2",35,10240,89099595,2620923,512,4538,1003,9,1.319160
1,1,10,"q10_case2",36,10240,91720018,2620423,512,4536,1003,9,1.349903
1,1,10,"q10_case2",37,10240,94340902,2620884,512,4534,1002,9,1.380993
1,1,10,"q10_case2",38,10240,96961330,2620428,512,4532,1002,9,1.410748
1,1,10,"q10_case2",39,10240,99582221,2620891,512,4530,1001,9,1.440481
1,1,10,"q10_case2",40,10240,102202649,2620428,512,4528,1001,9,1.469524
1,1,10,"q10_case2",41,10240,104823544,2620895,512,4526,1000,9,1.498793
1,1,10,"q10_case2",42,10240,107443969,2620425,512,4524,1000,9,1.527730
1,1,10,"q10_case2",43,10240,110064854,2620885,512,4522,999,9,1.557076
1,1,10,"q10_case2",44,10240,112685273,2620419,512,4520,999,9,1.587286
1,1,10,"q10_case2",45,10240,115306156,2620883,512,4518,999,9,1.618590
1,1,10,"q10_case2",46,10240,117926577,2620421,512,4516,998,9,1.649768
1,1,10,"q10_case2",47,10240,120546998,2620421,512,4514,998,9,1.681387
1,1,10,"q10_case2",48,10240,123167896,2620898,512,4512,997,9,1.712536
1,1,10,"q10_case2",49,10240,125788320,2620424,512,4510,997,9,1.744013
1,1,10,"q10_case2",50,10240,128408973,2620653,512,4508,996,9,1.775224
1,1,10,"q10_case2",51,10240,131029399,2620426,512,4506,996,9,1.814945
1,1,10,"q10_case2",52,10240,133650056,2620657,512,4504,995,9,1.847134
1,1,10,"q10_case2",53,10240,136270482,2620426,512,4502,995,9,1.877938
1,1,10,"q10_case2",54,10240,138891140,2620658,512,4500,994,9,1.908670
1,1,10,"q10_case2",55,10240,141511562,2620422,512,4498,994,9,1.941655
1,1,10,"q10_case2",56,10240,144132442,2620880,512,4496,994,9,1.973048
1,1,10,"q10_case2",57,10240,146752862,2620420,512,4494,994,9,2.010531
1,1,10,"q10_case2",58,10240,149373290,2620428,512,4492,994,9,2.041239
1,1,10,"q10_case2",59,10240,151994085,2620795,512,4490,994,9,2.072167
1,1,10,"q10_case2",60,10240,154614816,2620731,512,4488,994,9,2.103355
1,1,10,"q10_case2",61,10240,157235398,2620582,512,4486,994,9,2.132787
1,1,10,"q10_case2",62,10240,159856102,2620704,512,4484,993,9,2.161867
1,1,10,"q10_case2",63,10240,162476745,2620643,512,4482,993,9,2.241941
1,1,10,"q10_case2",64,10240,165097671,2620926,512,4480,993,9,2.271048
1,1,10,"q10_case2",65,10240,167718092,2620421,512,4478,993,9,2.306830
1,1,10,"q10_case2",66,10240,170338515,2620423,512,4476,993,9,2.337473
1,1,10,"q10_case2",67,10240,172959199,2620684,512,4474,991,9,2.367267
1,1,10,"q10_case2",68,10240,175579888,2620689,512,4472,991,9,2.399380
1,1,10,"q10_case2",69,10240,178200802,2620914,512,4470,990,9,2.429844
1,1,10,"q10_case2",70,10240,180821007,2620205,512,4468,990,9,2.459356
1,1,10,"q10_case2",71,10240,183441892,2620885,512,4466,990,9,2.489968
1,1,10,"q10_case2",72,10240,186062308,2620416,512,4464,990,9,2.520284
1,1,10,"q10_case2",73,10240,188682500,2620192,512,4462,990,9,2.550127
1,1,10,"q10_case2",74,10240,191302798,2620298,512,4460,989,9,2.580615
1,1,10,"q10_case2",75,10240,193923413,2620615,512,4458,988,9,2.612596
1,1,10,"q10_case2",76,10240,196544322,2620909,512,4456,988,9,2.643051
1,1,10,"q10_case2",77,10240,199164897,2620575,512,4454,987,9,2.674970
1,1,10,"q10_case2",78,10240,201785321,2620424,512,4452,987,9,2.705661
1,1,10,"q10_case2",79,10240,204406214,2620893,512,4450,986,9,2.736724
1,1,10,"q10_case2",80,10240,207026634,2620420,512,4448,986,9,2.769651
1,1,10,"q10_case2",81,10240,209647528,2620894,512,4446,986,9,2.802865
1,1,10,"q10_case2",82,10240,212267946,2620418,512,4444,986,9,2.837787
1,1,10,"q10_case2",83,10240,214888722,2620776,512,4442,986,9,2.869656
1,1,10,"q10_case2",84,10240,217509521,2620799,512,4440,986,9,2.900782
1,1,10,"q10_case2",85,10240,220130021,2620500,512,4438,985,9,2.931033
1,1,10,"q10_case2",86,10240,222750689,2620668,512,4436,985,9,2.960365
1,1,10,"q10_case2",87,10240,225371611,2620922,512,4434,985,9,2.989933
1,1,10,"q10_case2",88,10240,227992034,2620423,512,4432,984,9,3.019432
1,1,10,"q10_case2",89,10240,230612457,2620423,512,4430,983,9,3.048616
1,1,10,"q10_case2",90,10240,233233356,2620899,512,4428,983,9,3.077763
1,1,10,"q10_case2",91,10240,235853780,2620424,512,4426,983,9,3.107123
1,1,10,"q10_case2",92,10240,238474199,2620419,512,4424,983,9,3.136026
1,1,10,"q10_case2",93,10240,241094981,2620782,512,4422,982,9,3.164888
1,1,10,"q10_case2",94,10240,243715782,2620801,512,4420,982,9,3.193811
1,1,10,"q10_case2",95,10240,246336666,2620884,512,4418,982,9,3.224021
1,1,10,"q10_case2",96,10240,248957362,2620696,512,4416,982,9,3.254213
1,1,10,"q10_case2",97,10240,251578062,2620700,512,4414,982,9,3.283914
1,1,10,"q10_case2",98,10240,254198787,2620725,512,4412,982,9,3.312987
1,1,10,"q10_case2",99,10240,256819521,2620734,512,4410,982,9,3.343147
1,1,10,"q10_case2",100,10240,259440184,2620663,512,4408,982,9,3.372181
1,1,10,"q10_case2",101,10240,262060793,2620609,512,4406,982,9,3.404035
1,1,10,"q10_case2",102,10240,264681382,2620589,512,4404,981,9,3.434161
1,1,10,"q10_case2",103,10240,267301994,2620612,512,4402,981,9,3.466394
1,1,10,"q10_case2",104,10240,269922917,2620923,512,4400,980,9,3.497014
1,1,10,"q10_case2",105,10240,272543336,2620419,512,4398,980,9,3.527759
1,1,10,"q10_case2",106,10240,275164221,2620885,512,4396,980,9,3.558840
1,1,10,"q10_case2",107,10240,277784640,2620419,512,4394,980,9,3.591376
1,1,10,"q10_case2",108,10240,280405414,2620774,512,4392,980,9,3.624719
1,1,10,"q10_case2",109,10240,283026149,2620735,512,4390,980,9,3.657759
1,1,10,"q10_case2",110,10240,285646898,2620749,512,4388,980,9,3.689361
1,1,10,"q10_case2",111,10240,288267649,2620751,512,4386,980,9,3.721692
1,1,10,"q10_case2",112,10240,290888362,2620713,512,4384,980,9,3.751656
1,1,10,"q10_case2",113,10240,293509075,2620713,512,4382,979,9,3.782478
1,1,10,"q10_case2",114,10240,296129683,2620608,512,4380,979,9,3.819220
1,1,10,"q10_case2",115,10240,298750611,2620928,512,4378,979,9,3.850245
