case_index,total_cases,dim,case_name,depth,parent_count,edge_count,logical_candidates,chunk_candidates,chunks,recent_fingerprints,recent_table_slots,valid_candidates,host_prepare_sec,device_alloc_sec,h2d_sec,recent_update_sec,kernel_sec,sort_sec,d2h_sec,cpu_merge_sec,retained_select_sec,materialize_sec,total_sec,outer_parent_prepare_sec,outer_recent_snapshot_sec,outer_cuda_call_sec,outer_candidate_convert_sec,outer_progress_write_sec,outer_recent_add_sec,outer_layer_sec
1,1,10,"q10_case2",1,1,5120,5120,5120,1,1,2,5120,0.000104,0.000128,0.000127,0.000000,0.161623,0.000335,0.000146,0.000398,0.000326,0.000589,0.254697,0.000013,0.000001,0.253803,0.000501,0.000091,0.000082,0.255518
1,1,10,"q10_case2",2,512,5120,2621440,2621440,1,513,2048,2620928,0.001522,0.000314,0.000268,0.000000,0.000577,0.012360,0.000349,0.002759,0.001791,0.000659,0.023746,0.005468,0.000008,0.021381,0.003303,0.000038,0.000134,0.033220
1,1,10,"q10_case2",3,512,5120,2621440,2621440,1,1025,4096,2620436,0.001641,0.000032,0.000382,0.000000,0.000617,0.013372,0.000326,0.002564,0.001748,0.000524,0.021743,0.005550,0.000022,0.019532,0.003124,0.000031,0.000091,0.030939
1,1,10,"q10_case2",4,512,5120,2621440,2621440,1,1537,4096,2620489,0.001456,0.000017,0.000270,0.000063,0.000584,0.012846,0.000350,0.002709,0.001940,0.000498,0.021297,0.005171,0.000000,0.018936,0.003154,0.000066,0.000249,0.030353
1,1,10,"q10_case2",5,512,5120,2621440,2621440,1,2049,8192,2620067,0.001621,0.000029,0.000369,0.000000,0.000661,0.012614,0.000325,0.002576,0.001792,0.000538,0.021120,0.005627,0.000051,0.018862,0.003102,0.000052,0.000114,0.030449
1,1,10,"q10_case2",6,512,5120,2621440,2621440,1,2561,8192,2619831,0.001476,0.000000,0.000254,0.000026,0.000618,0.012276,0.000290,0.002575,0.001791,0.000518,0.020398,0.005077,0.000000,0.018156,0.003117,0.000032,0.000116,0.029158
1,1,10,"q10_case2",7,512,5120,2621440,2621440,1,3073,8192,2619793,0.001454,0.000000,0.000345,0.000033,0.000602,0.013317,0.000323,0.002638,0.001753,0.000520,0.021587,0.005350,0.000000,0.019380,0.003103,0.002711,0.000126,0.033218
1,1,10,"q10_case2",8,512,5120,2621440,2621440,1,3585,8192,2619696,0.001437,0.000000,0.000264,0.000044,0.000994,0.013377,0.000384,0.002553,0.001684,0.000290,0.021666,0.004942,0.000000,0.019762,0.003101,0.000025,0.000403,0.030370
1,1,10,"q10_case2",9,512,5120,2621440,2621440,1,4097,16384,2619621,0.001691,0.000024,0.000334,0.000000,0.000650,0.013372,0.000302,0.002582,0.001743,0.000490,0.021785,0.005275,0.000086,0.019620,0.003078,0.000023,0.000116,0.030700
1,1,10,"q10_case2",10,512,5120,2621440,2621440,1,4609,16384,2619723,0.001449,0.000000,0.000322,0.000036,0.000638,0.013443,0.000328,0.002614,0.001849,0.000337,0.021600,0.004963,0.000000,0.019491,0.003194,0.000029,0.000132,0.030242
1,1,10,"q10_case2",11,512,5120,2621440,2621440,1,5121,16384,2619856,0.001478,0.000000,0.000233,0.000044,0.000633,0.013052,0.000334,0.002615,0.001826,0.000361,0.021200,0.005056,0.000000,0.019089,0.003255,0.000030,0.000134,0.030008
1,1,10,"q10_case2",12,512,5120,2621440,2621440,1,5633,16384,2620006,0.001490,0.000001,0.000230,0.000045,0.000625,0.012765,0.000329,0.002632,0.002131,0.000331,0.021258,0.005097,0.000000,0.018883,0.003371,0.000031,0.000162,0.030243
1,1,10,"q10_case2",13,512,5120,2621440,2621440,1,6145,16384,2620308,0.001498,0.000000,0.000308,0.000041,0.000621,0.013591,0.000306,0.002754,0.001915,0.000256,0.021946,0.005205,0.000000,0.019867,0.003242,0.000028,0.000162,0.030896
1,1,10,"q10_case2",14,512,5120,2621440,2621440,1,6657,16384,2620639,0.001583,0.000001,0.000238,0.000044,0.000607,0.013464,0.000327,0.002731,0.001978,0.000370,0.021975,0.005270,0.000000,0.019712,0.003392,0.000029,0.000168,0.031114
1,1,10,"q10_case2",15,512,5120,2621440,2621440,1,7169,16384,2620420,0.001552,0.000001,0.000260,0.000045,0.000591,0.013102,0.000328,0.002606,0.001913,0.000255,0.021333,0.005224,0.000000,0.019243,0.003251,0.000029,0.000172,0.030272
1,1,10,"q10_case2",16,512,5120,2621440,2621440,1,7681,16384,2620891,0.001489,0.000000,0.000228,0.000040,0.000586,0.013390,0.000297,0.002604,0.001771,0.000348,0.021349,0.005089,0.000000,0.019299,0.003166,0.000028,0.000731,0.030601
1,1,10,"q10_case2",17,512,5120,2621440,2621440,1,8193,32768,2620432,0.001920,0.000032,0.000361,0.000000,0.000674,0.013036,0.000381,0.002674,0.001906,0.000258,0.021907,0.004980,0.000197,0.019825,0.003430,0.000030,0.000141,0.030968
1,1,10,"q10_case2",18,512,5120,2621440,2621440,1,8705,32768,2620893,0.001485,0.000000,0.000270,0.000032,0.000660,0.013534,0.000324,0.002705,0.001896,0.000345,0.021908,0.005057,0.000000,0.019749,0.003222,0.000028,0.000142,0.030623
1,1,10,"q10_case2",19,512,5120,2621440,2621440,1,9217,32768,2620440,0.001492,0.000000,0.000262,0.000039,0.000663,0.013548,0.000331,0.002625,0.006781,0.000620,0.026985,0.005461,0.000000,0.019657,0.004705,0.000029,0.000148,0.037990
1,1,10,"q10_case2",20,512,5120,2621440,2621440,1,9729,32768,2620457,0.001520,0.000000,0.000351,0.000037,0.000656,0.013900,0.000355,0.002662,0.001896,0.000315,0.022424,0.005243,0.000000,0.020286,0.003175,0.000058,0.000133,0.031285
1,1,10,"q10_case2",21,512,5120,2621440,2621440,1,10241,32768,2620658,0.001512,0.000001,0.000259,0.000036,0.000660,0.016779,0.000304,0.002677,0.002142,0.000675,0.025719,0.005655,0.000000,0.022981,0.003321,0.000029,0.000163,0.035321
1,1,10,"q10_case2",22,512,5120,2621440,2621440,1,10753,32768,2620610,0.001498,0.000000,0.000298,0.000032,0.000641,0.013402,0.000289,0.002649,0.001834,0.000321,0.021579,0.005112,0.000000,0.019497,0.003120,0.000042,0.000136,0.030246
1,1,10,"q10_case2",23,512,5120,2621440,2621440,1,11265,32768,2620612,0.001488,0.000000,0.000314,0.000035,0.000643,0.013036,0.000328,0.002701,0.001850,0.000530,0.021575,0.005498,0.000000,0.019270,0.003137,0.000027,0.000135,0.030769
1,1,10,"q10_case2",24,512,5120,2621440,2621440,1,11777,32768,2620522,0.001464,0.000000,0.000248,0.000041,0.000632,0.014865,0.000293,0.002653,0.001969,0.000249,0.023046,0.004985,0.000000,0.020901,0.003295,0.000029,0.000146,0.031747
1,1,10,"q10_case2",25,512,5120,2621440,2621440,1,12289,32768,2620919,0.001480,0.000001,0.000338,0.000032,0.000629,0.012588,0.000308,0.002608,0.001988,0.000515,0.021138,0.005519,0.000000,0.018712,0.003173,0.000026,0.000155,0.030419
1,1,10,"q10_case2",26,512,5120,2621440,2621440,1,12801,32768,2620423,0.001521,0.000000,0.000266,0.000031,0.000630,0.013273,0.000324,0.002599,0.001755,0.000201,0.021150,0.005039,0.000000,0.019260,0.003221,0.000024,0.000142,0.029786
1,1,10,"q10_case2",27,512,5120,2621440,2621440,1,13313,32768,2620890,0.001811,0.000000,0.000260,0.000035,0.000622,0.015312,0.000341,0.002725,0.001828,0.000579,0.024163,0.005528,0.000000,0.021829,0.003251,0.000027,0.000142,0.033490
1,1,10,"q10_case2",28,512,5120,2621440,2621440,1,13825,32768,2620433,0.001580,0.000000,0.000271,0.000039,0.000620,0.013107,0.000334,0.002566,0.001795,0.000198,0.021188,0.005017,0.000000,0.019264,0.003187,0.000027,0.000140,0.029780
1,1,10,"q10_case2",29,512,5120,2621440,2621440,1,14337,32768,2620891,0.001522,0.000000,0.000237,0.000040,0.000612,0.013337,0.000342,0.002732,0.001753,0.000531,0.021703,0.005366,0.000000,0.019489,0.003374,0.000024,0.000142,0.030971
1,1,10,"q10_case2",30,512,5120,2621440,2621440,1,14849,32768,2620436,0.001969,0.000000,0.000473,0.000060,0.000641,0.012664,0.000418,0.002630,0.001754,0.000219,0.021594,0.005244,0.000000,0.019693,0.003180,0.000024,0.000145,0.030397
1,1,10,"q10_case2",31,512,5120,2621440,2621440,1,15361,32768,2620500,0.001468,0.000000,0.000455,0.000062,0.000636,0.012785,0.000375,0.002927,0.001780,0.000761,0.022184,0.005433,0.000000,0.019720,0.003112,0.000026,0.000150,0.031295
1,1,10,"q10_case2",32,512,5120,2621440,2621440,1,15873,32768,2620530,0.001482,0.000000,0.000482,0.000050,0.000630,0.012848,0.000350,0.002657,0.001743,0.000217,0.021228,0.005161,0.000000,0.019332,0.003140,0.000022,0.001397,0.031144
1,1,10,"q10_case2",33,512,5120,2621440,2621440,1,16385,65536,2620673,0.002441,0.000143,0.000672,0.000000,0.000701,0.012809,0.000349,0.002565,0.001692,0.000560,0.023012,0.005574,0.000449,0.020855,0.003074,0.000026,0.000128,0.032669
1,1,10,"q10_case2",34,512,5120,2621440,2621440,1,16897,65536,2620529,0.001441,0.000000,0.000248,0.000028,0.000663,0.012353,0.000285,0.002554,0.001746,0.000185,0.020076,0.004889,0.000000,0.018206,0.003085,0.000026,0.000128,0.028450
1,1,10,"q10_case2",35,512,5120,2621440,2621440,1,17409,65536,2620923,0.001453,0.000000,0.000250,0.000032,0.000659,0.012740,0.000333,0.002653,0.001914,0.000702,0.021322,0.005276,0.000000,0.018778,0.003153,0.000029,0.000140,0.030363
1,1,10,"q10_case2",36,512,5120,2621440,2621440,1,17921,65536,2620423,0.001485,0.000000,0.000246,0.000032,0.000658,0.013445,0.000293,0.002632,0.001889,0.000259,0.021550,0.005037,0.000000,0.019483,0.003214,0.000028,0.000136,0.030231
1,1,10,"q10_case2",37,512,5120,2621440,2621440,1,18433,65536,2620884,0.001486,0.000000,0.000230,0.000033,0.000655,0.013547,0.000330,0.002628,0.001862,0.000722,0.022137,0.005394,0.000000,0.019627,0.003138,0.000026,0.000137,0.031318
