case_index,total_cases,dim,case_name,depth,parent_count,edge_count,logical_candidates,chunk_candidates,chunks,recent_fingerprints,recent_table_slots,valid_candidates,host_prepare_sec,device_alloc_sec,h2d_sec,recent_update_sec,kernel_sec,sort_sec,d2h_sec,cpu_merge_sec,retained_select_sec,materialize_sec,total_sec
1,1,10,"q10_case1",1,1,5120,5120,5120,1,1,2,5120,0.000100,0.000119,0.000125,0.000000,0.158013,0.000282,0.000151,0.000327,0.000841,0.000592,0.246791
1,1,10,"q10_case1",2,512,5120,2621440,2621440,1,513,2048,2620928,0.001517,0.000298,0.000337,0.000000,0.000573,0.012467,0.000187,0.000346,0.000885,0.000520,0.019129
1,1,10,"q10_case1",3,512,5120,2621440,2621440,1,1025,4096,2620439,0.001516,0.000018,0.000249,0.000000,0.000580,0.012803,0.000154,0.000312,0.000856,0.000467,0.017105
1,1,10,"q10_case1",4,512,5120,2621440,2621440,1,1537,4096,2620905,0.001451,0.000008,0.000259,0.000056,0.000615,0.012789,0.000135,0.000315,0.000858,0.000482,0.017199
1,1,10,"q10_case1",5,512,5120,2621440,2621440,1,2049,8192,2620856,0.001582,0.000013,0.000287,0.000000,0.000610,0.013063,0.000137,0.000306,0.000871,0.000359,0.017392
1,1,10,"q10_case1",6,512,5120,2621440,2621440,1,2561,8192,2620471,0.001432,0.000000,0.000239,0.000025,0.000593,0.012362,0.000168,0.000329,0.000849,0.000374,0.016576
1,1,10,"q10_case1",7,512,5120,2621440,2621440,1,3073,8192,2620486,0.001458,0.000000,0.000238,0.000022,0.000581,0.012915,0.000181,0.000314,0.000881,0.000816,0.017653
1,1,10,"q10_case1",8,512,5120,2621440,2621440,1,3585,8192,2620431,0.001433,0.000000,0.000245,0.000024,0.000564,0.012737,0.000165,0.000320,0.000838,0.000385,0.016912
1,1,10,"q10_case1",9,512,5120,2621440,2621440,1,4097,16384,2620914,0.001671,0.000015,0.000547,0.000000,0.000660,0.012295,0.000138,0.000290,0.000850,0.000300,0.017010
1,1,10,"q10_case1",10,512,5120,2621440,2621440,1,4609,16384,2620848,0.001416,0.000000,0.000258,0.000020,0.000811,0.012948,0.000150,0.000294,0.000826,0.000339,0.017284
1,1,10,"q10_case1",11,512,5120,2621440,2621440,1,5121,16384,2620449,0.001470,0.000000,0.000226,0.000022,0.000617,0.012618,0.000162,0.000286,0.000831,0.000184,0.016616
1,1,10,"q10_case1",12,512,5120,2621440,2621440,1,5633,16384,2620429,0.001428,0.000000,0.000248,0.000023,0.000605,0.012696,0.000142,0.000247,0.000794,0.000262,0.016552
1,1,10,"q10_case1",13,512,5120,2621440,2621440,1,6145,16384,2620435,0.001456,0.000000,0.000240,0.000028,0.000593,0.012450,0.000139,0.000295,0.000842,0.000128,0.016368
1,1,10,"q10_case1",14,512,5120,2621440,2621440,1,6657,16384,2620891,0.001424,0.000000,0.000242,0.000030,0.000582,0.012263,0.000140,0.000251,0.000815,0.000134,0.016024
1,1,10,"q10_case1",15,512,5120,2621440,2621440,1,7169,16384,2620443,0.001442,0.000000,0.000260,0.000031,0.000577,0.012261,0.000140,0.000239,0.000811,0.000101,0.016055
1,1,10,"q10_case1",16,512,5120,2621440,2621440,1,7681,16384,2620893,0.001434,0.000000,0.000248,0.000031,0.000569,0.012625,0.000142,0.000265,0.000792,0.000120,0.016467
1,1,10,"q10_case1",17,512,5120,2621440,2621440,1,8193,32768,2620436,0.001929,0.000016,0.000395,0.000000,0.000650,0.012589,0.000137,0.000254,0.000863,0.000239,0.017229
1,1,10,"q10_case1",18,512,5120,2621440,2621440,1,8705,32768,2620910,0.001484,0.000000,0.000218,0.000026,0.000629,0.012449,0.000158,0.000314,0.000818,0.000225,0.016518
1,1,10,"q10_case1",19,512,5120,2621440,2621440,1,9217,32768,2620434,0.001547,0.000000,0.000267,0.000033,0.000623,0.013372,0.000183,0.000285,0.000888,0.000606,0.018017
1,1,10,"q10_case1",20,512,5120,2621440,2621440,1,9729,32768,2620807,0.001503,0.000000,0.000260,0.000052,0.000644,0.012721,0.000174,0.000286,0.000864,0.000303,0.017047
1,1,10,"q10_case1",21,512,5120,2621440,2621440,1,10241,32768,2620760,0.001487,0.000000,0.000241,0.000038,0.000617,0.013468,0.000176,0.000551,0.000883,0.000612,0.018374
1,1,10,"q10_case1",22,512,5120,2621440,2621440,1,10753,32768,2620716,0.001587,0.000000,0.000240,0.000037,0.000642,0.013368,0.000175,0.000440,0.000872,0.000355,0.017920
1,1,10,"q10_case1",23,512,5120,2621440,2621440,1,11265,32768,2620701,0.001515,0.000000,0.000295,0.000034,0.000610,0.013120,0.000188,0.000288,0.000974,0.000715,0.017993
1,1,10,"q10_case1",24,512,5120,2621440,2621440,1,11777,32768,2620722,0.001506,0.000000,0.000259,0.000031,0.000608,0.012296,0.000156,0.000272,0.000842,0.000354,0.016520
1,1,10,"q10_case1",25,512,5120,2621440,2621440,1,12289,32768,2620731,0.001529,0.000000,0.000264,0.000031,0.000600,0.013255,0.000168,0.000345,0.000942,0.000611,0.018059
1,1,10,"q10_case1",26,512,5120,2621440,2621440,1,12801,32768,2620917,0.001515,0.000000,0.000267,0.000041,0.000595,0.013337,0.000200,0.000272,0.000879,0.000373,0.017704
1,1,10,"q10_case1",27,512,5120,2621440,2621440,1,13313,32768,2620434,0.001527,0.000000,0.000261,0.000035,0.000597,0.013255,0.000138,0.000302,0.000914,0.000509,0.017778
1,1,10,"q10_case1",28,512,5120,2621440,2621440,1,13825,32768,2620910,0.001546,0.000000,0.000222,0.000046,0.000592,0.013408,0.000182,0.000311,0.000887,0.000338,0.017759
1,1,10,"q10_case1",29,512,5120,2621440,2621440,1,14337,32768,2620423,0.001524,0.000000,0.000284,0.000030,0.000618,0.012773,0.000181,0.000263,0.000913,0.000504,0.017349
1,1,10,"q10_case1",30,512,5120,2621440,2621440,1,14849,32768,2620903,0.001552,0.000000,0.000267,0.000045,0.000590,0.012989,0.000155,0.000287,0.000892,0.000365,0.017401
1,1,10,"q10_case1",31,512,5120,2621440,2621440,1,15361,32768,2620433,0.001525,0.000001,0.000505,0.000063,0.000625,0.013219,0.000197,0.000291,0.000967,0.000533,0.018247
1,1,10,"q10_case1",32,512,5120,2621440,2621440,1,15873,32768,2620909,0.001522,0.000001,0.000358,0.000042,0.000590,0.013053,0.000170,0.000280,0.000963,0.000255,0.017462
1,1,10,"q10_case1",33,512,5120,2621440,2621440,1,16385,65536,2620872,0.002605,0.000135,0.000491,0.000000,0.000653,0.013206,0.000187,0.000400,0.000883,0.000458,0.019529
1,1,10,"q10_case1",34,512,5120,2621440,2621440,1,16897,65536,2620432,0.001513,0.000000,0.000255,0.000027,0.000637,0.013588,0.000184,0.000398,0.000879,0.000297,0.018070
1,1,10,"q10_case1",35,512,5120,2621440,2621440,1,17409,65536,2620426,0.001574,0.000000,0.000247,0.000023,0.000637,0.012460,0.000130,0.000320,0.000907,0.000462,0.016990
1,1,10,"q10_case1",36,512,5120,2621440,2621440,1,17921,65536,2620906,0.001483,0.000000,0.000286,0.000031,0.000640,0.012940,0.000182,0.000339,0.000839,0.000315,0.017272
1,1,10,"q10_case1",37,512,5120,2621440,2621440,1,18433,65536,2620426,0.001477,0.000000,0.000245,0.000024,0.000636,0.012747,0.000139,0.000332,0.000930,0.000452,0.017182
1,1,10,"q10_case1",38,512,5120,2621440,2621440,1,18945,65536,2620923,0.001455,0.000000,0.000235,0.000026,0.000639,0.012737,0.000176,0.000579,0.001025,0.000235,0.017363
1,1,10,"q10_case1",39,512,5120,2621440,2621440,1,19457,65536,2620420,0.001454,0.000000,0.000446,0.000048,0.000660,0.012211,0.000179,0.000316,0.000886,0.000408,0.016935
1,1,10,"q10_case1",40,512,5120,2621440,2621440,1,19969,65536,2620910,0.001474,0.000000,0.000254,0.000023,0.000628,0.012586,0.000130,0.000299,0.000858,0.000164,0.016600
1,1,10,"q10_case1",41,512,5120,2621440,2621440,1,20481,65536,2620655,0.001453,0.000000,0.000275,0.000021,0.000630,0.012062,0.000133,0.000307,0.000843,0.000398,0.016307
1,1,10,"q10_case1",42,512,5120,2621440,2621440,1,20993,65536,2620438,0.001440,0.000000,0.000253,0.000026,0.000632,0.011945,0.000173,0.000314,0.000885,0.000097,0.015983
1,1,10,"q10_case1",43,512,5120,2621440,2621440,1,21505,65536,2620430,0.001463,0.000000,0.000266,0.000025,0.000627,0.011983,0.000146,0.000326,0.000880,0.000431,0.016365
1,1,10,"q10_case1",44,512,5120,2621440,2621440,1,22017,65536,2620422,0.001448,0.000000,0.000238,0.000032,0.000622,0.012462,0.000183,0.000294,0.000788,0.000110,0.016380
1,1,10,"q10_case1",45,512,5120,2621440,2621440,1,22529,65536,2620909,0.001470,0.000000,0.000249,0.000030,0.000618,0.012541,0.000147,0.000320,0.000859,0.000404,0.016831
1,1,10,"q10_case1",46,512,5120,2621440,2621440,1,23041,65536,2620419,0.001473,0.000000,0.000340,0.000023,0.000615,0.011979,0.000143,0.000314,0.000827,0.000161,0.016057
1,1,10,"q10_case1",47,512,5120,2621440,2621440,1,23553,65536,2620829,0.001432,0.000000,0.000244,0.000022,0.000618,0.011683,0.000138,0.000278,0.000875,0.000565,0.016058
1,1,10,"q10_case1",48,512,5120,2621440,2621440,1,24065,65536,2620776,0.001473,0.000000,0.000279,0.000031,0.000614,0.012146,0.000145,0.000280,0.000866,0.000202,0.016262
1,1,10,"q10_case1",49,512,5120,2621440,2621440,1,24577,65536,2620905,0.001534,0.000000,0.000249,0.000039,0.000618,0.012067,0.000143,0.000264,0.000873,0.000571,0.016570
1,1,10,"q10_case1",50,512,5120,2621440,2621440,1,25089,65536,2620430,0.001531,0.000000,0.000349,0.000041,0.000610,0.012908,0.000145,0.000294,0.000834,0.000200,0.017140
1,1,10,"q10_case1",51,512,5120,2621440,2621440,1,25601,65536,2620914,0.001460,0.000000,0.000238,0.000027,0.000606,0.012688,0.000135,0.000275,0.000877,0.000432,0.016921
1,1,10,"q10_case1",52,512,5120,2621440,2621440,1,26113,65536,2620431,0.001540,0.000000,0.000278,0.000023,0.000608,0.012121,0.000136,0.000276,0.000824,0.000101,0.016119
1,1,10,"q10_case1",53,512,5120,2621440,2621440,1,26625,65536,2620910,0.001451,0.000000,0.000219,0.000027,0.000602,0.015053,0.000130,0.000277,0.000870,0.000416,0.019227
1,1,10,"q10_case1",54,512,5120,2621440,2621440,1,27137,65536,2620427,0.001476,0.000000,0.000291,0.000029,0.000598,0.012005,0.000134,0.000270,0.000809,0.000101,0.015885
1,1,10,"q10_case1",55,512,5120,2621440,2621440,1,27649,65536,2620916,0.001442,0.000000,0.000276,0.000035,0.000600,0.012291,0.000138,0.000277,0.000837,0.000418,0.016541
1,1,10,"q10_case1",56,512,5120,2621440,2621440,1,28161,65536,2620785,0.001427,0.000000,0.000255,0.000028,0.000601,0.011931,0.000133,0.000279,0.000805,0.000100,0.015765
1,1,10,"q10_case1",57,512,5120,2621440,2621440,1,28673,65536,2620470,0.001457,0.000000,0.000291,0.000027,0.000630,0.011866,0.000138,0.000272,0.000891,0.000322,0.016126
