case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,1,10,"q10_case2",1,10240,5120,5120,512,4606,1021,9,0.243187
1,1,10,"q10_case2",2,10240,2626048,2620928,512,4604,1020,9,0.282482
1,1,10,"q10_case2",3,10240,5246484,2620436,512,4602,1019,9,0.318644
1,1,10,"q10_case2",4,10240,7866973,2620489,512,4600,1018,9,0.354857
1,1,10,"q10_case2",5,10240,10487040,2620067,512,4598,1017,9,0.390880
1,1,10,"q10_case2",6,10240,13106871,2619831,512,4596,1016,9,0.425975
1,1,10,"q10_case2",7,10240,15726664,2619793,512,4594,1015,9,0.462043
1,1,10,"q10_case2",8,10240,18346360,2619696,512,4592,1014,9,0.498211
1,1,10,"q10_case2",9,10240,20965981,2619621,512,4590,1013,9,0.534214
1,1,10,"q10_case2",10,10240,23585704,2619723,512,4588,1012,9,0.571308
1,1,10,"q10_case2",11,10240,26205560,2619856,512,4586,1011,9,0.609344
1,1,10,"q10_case2",12,10240,28825566,2620006,512,4584,1010,9,0.646316
1,1,10,"q10_case2",13,10240,31445874,2620308,512,4582,1010,9,0.683415
1,1,10,"q10_case2",14,10240,34066513,2620639,512,4580,1009,9,0.720299
1,1,10,"q10_case2",15,10240,36686933,2620420,512,4578,1009,9,0.757911
1,1,10,"q10_case2",16,10240,39307824,2620891,512,4576,1008,9,0.794447
1,1,10,"q10_case2",17,10240,41928256,2620432,512,4574,1008,9,0.831777
1,1,10,"q10_case2",18,10240,44549149,2620893,512,4572,1008,9,0.867660
1,1,10,"q10_case2",19,10240,47169589,2620440,512,4570,1008,9,0.904689
1,1,10,"q10_case2",20,10240,49790046,2620457,512,4568,1008,9,0.943658
1,1,10,"q10_case2",21,10240,52410704,2620658,512,4566,1008,9,0.981146
1,1,10,"q10_case2",22,10240,55031314,2620610,512,4564,1008,9,1.017465
1,1,10,"q10_case2",23,10240,57651926,2620612,512,4562,1007,9,1.054478
1,1,10,"q10_case2",24,10240,60272448,2620522,512,4560,1007,9,1.090540
1,1,10,"q10_case2",25,10240,62893367,2620919,512,4558,1006,9,1.127408
1,1,10,"q10_case2",26,10240,65513790,2620423,512,4556,1006,9,1.163901
1,1,10,"q10_case2",27,10240,68134680,2620890,512,4554,1005,9,1.218611
1,1,10,"q10_case2",28,10240,70755113,2620433,512,4552,1005,9,1.254525
1,1,10,"q10_case2",29,10240,73376004,2620891,512,4550,1005,9,1.291442
1,1,10,"q10_case2",30,10240,75996440,2620436,512,4548,1005,9,1.326958
1,1,10,"q10_case2",31,10240,78616940,2620500,512,4546,1005,9,1.362585
1,1,10,"q10_case2",32,10240,81237470,2620530,512,4544,1005,9,1.420861
1,1,10,"q10_case2",33,10240,83858143,2620673,512,4542,1004,9,1.461929
1,1,10,"q10_case2",34,10240,86478672,2620529,512,4540,1004,9,1.498884
1,1,10,"q10_case2",35,10240,89099595,2620923,512,4538,1003,9,1.535874
1,1,10,"q10_case2",36,10240,91720018,2620423,512,4536,1003,9,1.572625
