case_index,total_cases,dim,case_name,depth,parent_count,edge_count,logical_candidates,chunk_candidates,chunks,recent_fingerprints,recent_table_slots,valid_candidates,host_prepare_sec,device_alloc_sec,h2d_sec,recent_update_sec,kernel_sec,sort_sec,d2h_sec,cpu_merge_sec,retained_select_sec,materialize_sec,total_sec
1,1,10,"q10_case2",1,1,5120,5120,5120,1,1,2,5120,0.000091,0.000114,0.000114,0.000000,0.156099,0.000521,0.000238,0.000359,0.001091,0.000676,0.242947
1,1,10,"q10_case2",2,512,5120,2621440,2621440,1,513,2048,2620928,0.001489,0.000286,0.000429,0.000000,0.000614,0.012268,0.000363,0.002551,0.007522,0.000428,0.029349
1,1,10,"q10_case2",3,512,5120,2621440,2621440,1,1025,4096,2620436,0.001508,0.000020,0.000258,0.000000,0.000608,0.012304,0.000301,0.002547,0.007641,0.000585,0.026319
1,1,10,"q10_case2",4,512,5120,2621440,2621440,1,1537,4096,2620489,0.001466,0.000013,0.000276,0.000056,0.000582,0.012947,0.000288,0.002564,0.007394,0.000498,0.026662
1,1,10,"q10_case2",5,512,5120,2621440,2621440,1,2049,8192,2620067,0.001588,0.000020,0.000362,0.000000,0.000641,0.011962,0.000284,0.002639,0.007639,0.000606,0.026354
1,1,10,"q10_case2",6,512,5120,2621440,2621440,1,2561,8192,2619831,0.001449,0.000000,0.000219,0.000030,0.000627,0.012035,0.000295,0.002587,0.007411,0.000441,0.025699
1,1,10,"q10_case2",7,512,5120,2621440,2621440,1,3073,8192,2619793,0.001459,0.000000,0.000216,0.000029,0.000604,0.012477,0.000368,0.002600,0.007694,0.000634,0.026721
1,1,10,"q10_case2",8,512,5120,2621440,2621440,1,3585,8192,2619696,0.001431,0.000001,0.000328,0.000033,0.000589,0.012192,0.000344,0.002620,0.007309,0.000349,0.025802
1,1,10,"q10_case2",9,512,5120,2621440,2621440,1,4097,16384,2619621,0.001735,0.000023,0.000341,0.000000,0.000659,0.011923,0.000340,0.002620,0.007477,0.000551,0.026290
1,1,10,"q10_case2",10,512,5120,2621440,2621440,1,4609,16384,2619723,0.001483,0.000000,0.000263,0.000042,0.000644,0.012679,0.000325,0.002677,0.007955,0.000507,0.027551
1,1,10,"q10_case2",11,512,5120,2621440,2621440,1,5121,16384,2619856,0.001493,0.000001,0.000493,0.000056,0.000661,0.012539,0.000397,0.002723,0.008049,0.000360,0.027634
1,1,10,"q10_case2",12,512,5120,2621440,2621440,1,5633,16384,2620006,0.001550,0.000001,0.000338,0.000050,0.000633,0.012360,0.000334,0.002665,0.008129,0.000342,0.027065
1,1,10,"q10_case2",13,512,5120,2621440,2621440,1,6145,16384,2620308,0.001506,0.000000,0.000257,0.000033,0.000620,0.012850,0.000318,0.002705,0.007979,0.000301,0.027221
1,1,10,"q10_case2",14,512,5120,2621440,2621440,1,6657,16384,2620639,0.001521,0.000000,0.000251,0.000051,0.000610,0.012415,0.000337,0.002896,0.007963,0.000383,0.027093
1,1,10,"q10_case2",15,512,5120,2621440,2621440,1,7169,16384,2620420,0.001534,0.000001,0.000303,0.000046,0.000599,0.013393,0.000327,0.002671,0.007914,0.000272,0.027760
1,1,10,"q10_case2",16,512,5120,2621440,2621440,1,7681,16384,2620891,0.001523,0.000000,0.000343,0.000041,0.000617,0.012406,0.000334,0.002652,0.007922,0.000358,0.026843
1,1,10,"q10_case2",17,512,5120,2621440,2621440,1,8193,32768,2620432,0.001924,0.000036,0.000418,0.000000,0.000674,0.012616,0.000290,0.002671,0.007770,0.000253,0.027289
1,1,10,"q10_case2",18,512,5120,2621440,2621440,1,8705,32768,2620893,0.001476,0.000000,0.000297,0.000049,0.000654,0.012550,0.000297,0.002627,0.007665,0.000383,0.026627
1,1,10,"q10_case2",19,512,5120,2621440,2621440,1,9217,32768,2620440,0.001509,0.000000,0.000228,0.000042,0.000653,0.012624,0.000320,0.002638,0.007836,0.000678,0.027143
1,1,10,"q10_case2",20,512,5120,2621440,2621440,1,9729,32768,2620457,0.001710,0.000001,0.000268,0.000056,0.000659,0.013306,0.000337,0.002707,0.008068,0.000320,0.028162
1,1,10,"q10_case2",21,512,5120,2621440,2621440,1,10241,32768,2620658,0.001660,0.000000,0.000274,0.000027,0.000651,0.012289,0.000334,0.002649,0.008006,0.000600,0.027147
1,1,10,"q10_case2",22,512,5120,2621440,2621440,1,10753,32768,2620610,0.001503,0.000000,0.000318,0.000031,0.000647,0.012525,0.000295,0.002614,0.007548,0.000319,0.026430
1,1,10,"q10_case2",23,512,5120,2621440,2621440,1,11265,32768,2620612,0.001600,0.000000,0.000232,0.000035,0.000640,0.012590,0.000283,0.002644,0.007673,0.000570,0.026894
1,1,10,"q10_case2",24,512,5120,2621440,2621440,1,11777,32768,2620522,0.001467,0.000000,0.000225,0.000030,0.000631,0.012118,0.000309,0.002629,0.007904,0.000235,0.026174
1,1,10,"q10_case2",25,512,5120,2621440,2621440,1,12289,32768,2620919,0.001512,0.000001,0.000237,0.000040,0.000635,0.012471,0.000320,0.002664,0.007703,0.000618,0.026831
1,1,10,"q10_case2",26,512,5120,2621440,2621440,1,12801,32768,2620423,0.001494,0.000000,0.000297,0.000036,0.000626,0.012153,0.000329,0.002613,0.007737,0.000244,0.026310
1,1,10,"q10_case2",27,512,5120,2621440,2621440,1,13313,32768,2620890,0.001466,0.000000,0.000331,0.000042,0.000624,0.030559,0.000318,0.002588,0.007464,0.000568,0.044566
1,1,10,"q10_case2",28,512,5120,2621440,2621440,1,13825,32768,2620433,0.001481,0.000000,0.000349,0.000030,0.000622,0.012241,0.000318,0.002580,0.007705,0.000162,0.026082
1,1,10,"q10_case2",29,512,5120,2621440,2621440,1,14337,32768,2620891,0.001470,0.000000,0.000218,0.000038,0.000612,0.013261,0.000320,0.002594,0.007495,0.000670,0.027260
1,1,10,"q10_case2",30,512,5120,2621440,2621440,1,14849,32768,2620436,0.001449,0.000000,0.000231,0.000029,0.000610,0.011903,0.000294,0.002568,0.007667,0.000204,0.025579
1,1,10,"q10_case2",31,512,5120,2621440,2621440,1,15361,32768,2620500,0.001463,0.000000,0.000253,0.000040,0.000606,0.011920,0.000288,0.002658,0.007505,0.000646,0.025956
1,1,10,"q10_case2",32,512,5120,2621440,2621440,1,15873,32768,2620530,0.001462,0.000000,0.000289,0.000044,0.000604,0.033854,0.000328,0.002651,0.008025,0.000329,0.048229
1,1,10,"q10_case2",33,512,5120,2621440,2621440,1,16385,65536,2620673,0.002459,0.000184,0.000419,0.000000,0.000683,0.013429,0.000284,0.002608,0.007777,0.000559,0.029425
1,1,10,"q10_case2",34,512,5120,2621440,2621440,1,16897,65536,2620529,0.001479,0.000000,0.000269,0.000033,0.000663,0.012669,0.000305,0.002640,0.007791,0.000255,0.026715
1,1,10,"q10_case2",35,512,5120,2621440,2621440,1,17409,65536,2620923,0.001496,0.000000,0.000307,0.000035,0.000663,0.012136,0.000334,0.002645,0.007676,0.000655,0.026613
1,1,10,"q10_case2",36,512,5120,2621440,2621440,1,17921,65536,2620423,0.001516,0.000000,0.000334,0.000030,0.000661,0.012107,0.000327,0.002657,0.007768,0.000252,0.026331
1,1,10,"q10_case2",37,512,5120,2621440,2621440,1,18433,65536,2620884,0.001519,0.000001,0.000304,0.000029,0.000843,0.018954,0.000327,0.003015,0.007979,0.000677,0.034284
1,1,10,"q10_case2",38,512,5120,2621440,2621440,1,18945,65536,2620428,0.001592,0.000001,0.000538,0.000054,0.000686,0.013440,0.000354,0.002679,0.007907,0.000275,0.028297
1,1,10,"q10_case2",39,512,5120,2621440,2621440,1,19457,65536,2620891,0.001523,0.000000,0.000258,0.000031,0.000655,0.012953,0.000365,0.002762,0.007936,0.000628,0.027766
1,1,10,"q10_case2",40,512,5120,2621440,2621440,1,19969,65536,2620428,0.001525,0.000000,0.000247,0.000040,0.000658,0.016833,0.000367,0.002657,0.008045,0.000263,0.031305
1,1,10,"q10_case2",41,512,5120,2621440,2621440,1,20481,65536,2620895,0.001617,0.000000,0.000330,0.000051,0.000657,0.012449,0.000367,0.002745,0.007996,0.000618,0.027485
1,1,10,"q10_case2",42,512,5120,2621440,2621440,1,20993,65536,2620425,0.001502,0.000001,0.000292,0.000044,0.000676,0.012688,0.000319,0.002688,0.007876,0.000270,0.027012
1,1,10,"q10_case2",43,512,5120,2621440,2621440,1,21505,65536,2620885,0.001511,0.000001,0.000308,0.000046,0.000689,0.012475,0.000390,0.002668,0.007860,0.000646,0.027275
1,1,10,"q10_case2",44,512,5120,2621440,2621440,1,22017,65536,2620419,0.001495,0.000000,0.000228,0.000036,0.000665,0.012707,0.000317,0.002665,0.007783,0.000259,0.026841
1,1,10,"q10_case2",45,512,5120,2621440,2621440,1,22529,65536,2620883,0.001511,0.000001,0.000259,0.000045,0.000652,0.013266,0.000406,0.002709,0.008338,0.000686,0.028885
1,1,10,"q10_case2",46,512,5120,2621440,2621440,1,23041,65536,2620421,0.001509,0.000000,0.000595,0.000060,0.000741,0.012262,0.000379,0.002643,0.007601,0.000344,0.026915
1,1,10,"q10_case2",47,512,5120,2621440,2621440,1,23553,65536,2620421,0.001491,0.000000,0.000277,0.000045,0.000645,0.028654,0.000309,0.002629,0.008063,0.000556,0.043330
1,1,10,"q10_case2",48,512,5120,2621440,2621440,1,24065,65536,2620898,0.001474,0.000001,0.000338,0.000032,0.000644,0.012192,0.000333,0.002655,0.007997,0.000322,0.026656
1,1,10,"q10_case2",49,512,5120,2621440,2621440,1,24577,65536,2620424,0.001487,0.000001,0.000232,0.000050,0.000640,0.012213,0.000286,0.002579,0.007763,0.000508,0.026370
1,1,10,"q10_case2",50,512,5120,2621440,2621440,1,25089,65536,2620653,0.001470,0.000000,0.000288,0.000026,0.000664,0.011965,0.000308,0.002624,0.007841,0.000359,0.026154
1,1,10,"q10_case2",51,512,5120,2621440,2621440,1,25601,65536,2620426,0.001534,0.000001,0.000236,0.000054,0.000634,0.012887,0.000296,0.002628,0.007697,0.000598,0.027261
1,1,10,"q10_case2",52,512,5120,2621440,2621440,1,26113,65536,2620657,0.001489,0.000000,0.000251,0.000036,0.000629,0.012709,0.000290,0.002669,0.007607,0.000331,0.026626
1,1,10,"q10_case2",53,512,5120,2621440,2621440,1,26625,65536,2620426,0.001524,0.000000,0.000337,0.000120,0.000637,0.012916,0.000329,0.002605,0.007659,0.000454,0.027186
