"case_index","total_cases","dim","case_name","depth","max_depth","expanded","layer_candidates","retained","best_total_dist","best_misplaced","best_max_dist","elapsed_sec"
"1","2","10","q10_case1","1","10240","5120","5120","512","5118","1022","10","0.027182"
"1","2","10","q10_case1","2","10240","2626048","2620928","512","5116","1021","10","0.796243"
"1","2","10","q10_case1","3","10240","5246487","2620439","512","5114","1020","10","1.591963"
"1","2","10","q10_case1","4","10240","7867392","2620905","512","5112","1019","10","2.373380"
"1","2","10","q10_case1","5","10240","10488248","2620856","512","5110","1018","10","3.138906"
"1","2","10","q10_case1","6","10240","13108719","2620471","512","5108","1018","10","3.901197"
"1","2","10","q10_case1","7","10240","15729205","2620486","512","5106","1017","10","4.667022"
"1","2","10","q10_case1","8","10240","18349636","2620431","512","5104","1016","10","5.436474"
"1","2","10","q10_case1","9","10240","20970550","2620914","512","5102","1015","10","6.219493"
"1","2","10","q10_case1","10","10240","23591398","2620848","512","5100","1014","10","6.987103"
"1","2","10","q10_case1","11","10240","26211847","2620449","512","5098","1014","10","7.759005"
"1","2","10","q10_case1","12","10240","28832276","2620429","512","5096","1013","10","8.548171"
"1","2","10","q10_case1","13","10240","31452711","2620435","512","5094","1013","10","9.399695"
"1","2","10","q10_case1","14","10240","34073602","2620891","512","5092","1012","10","10.250772"
"1","2","10","q10_case1","15","10240","36694045","2620443","512","5090","1012","10","11.099902"
"1","2","10","q10_case1","16","10240","39314938","2620893","512","5088","1011","10","11.948966"
"1","2","10","q10_case1","17","10240","41935374","2620436","512","5086","1011","10","12.795669"
"1","2","10","q10_case1","18","10240","44556284","2620910","512","5084","1011","10","13.645318"
"1","2","10","q10_case1","19","10240","47176718","2620434","512","5082","1011","10","14.491763"
"1","2","10","q10_case1","20","10240","49797525","2620807","512","5080","1011","10","15.384128"
"1","2","10","q10_case1","21","10240","52418285","2620760","512","5078","1011","10","16.228418"
"1","2","10","q10_case1","22","10240","55039001","2620716","512","5076","1011","10","17.024398"
"1","2","10","q10_case1","23","10240","57659702","2620701","512","5074","1011","10","17.817815"
