case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,2,11,"q11_case1",1,22528,11264,11264,512,11262,2046,10,0.439965
1,2,11,"q11_case1",2,22528,5777920,5766656,512,11260,2046,10,0.503133
1,2,11,"q11_case1",3,22528,11544065,5766145,512,11258,2046,10,0.561237
1,2,11,"q11_case1",4,22528,17310574,5766509,512,11256,2046,10,0.616702
1,2,11,"q11_case1",5,22528,23077033,5766459,512,11254,2046,10,0.672376
1,2,11,"q11_case1",6,22528,28843436,5766403,512,11252,2046,10,0.727825
1,2,11,"q11_case1",7,22528,34609805,5766369,512,11250,2045,10,0.783018
1,2,11,"q11_case1",8,22528,40376097,5766292,512,11248,2045,10,0.838975
1,2,11,"q11_case1",9,22528,46142747,5766650,512,11246,2045,10,0.895122
1,2,11,"q11_case1",10,22528,51908896,5766149,512,11244,2045,10,0.949447
1,2,11,"q11_case1",11,22528,57675401,5766505,512,11242,2045,10,1.002950
1,2,11,"q11_case1",12,22528,63441838,5766437,512,11240,2044,10,1.056021
1,2,11,"q11_case1",13,22528,69208227,5766389,512,11238,2044,10,1.109678
1,2,11,"q11_case1",14,22528,74974858,5766631,512,11236,2044,10,1.163335
1,2,11,"q11_case1",15,22528,80741004,5766146,512,11234,2044,10,1.216334
1,2,11,"q11_case1",16,22528,86507152,5766148,512,11232,2044,10,1.269599
1,2,11,"q11_case1",17,22528,92273574,5766422,512,11230,2044,10,1.324642
1,2,11,"q11_case1",18,22528,98039945,5766371,512,11228,2043,10,1.378000
1,2,11,"q11_case1",19,22528,103806285,5766340,512,11226,2043,10,1.433032
1,2,11,"q11_case1",20,22528,109572931,5766646,512,11224,2043,10,1.486649
1,2,11,"q11_case1",21,22528,115339077,5766146,512,11222,2043,10,1.542284
1,2,11,"q11_case1",22,22528,121105587,5766510,512,11220,2043,10,1.596934
1,2,11,"q11_case1",23,22528,126871750,5766163,512,11218,2043,10,1.649603
1,2,11,"q11_case1",24,22528,132638102,5766352,512,11216,2043,10,1.702795
1,2,11,"q11_case1",25,22528,138404431,5766329,512,11214,2043,10,1.755361
1,2,11,"q11_case1",26,22528,144170762,5766331,512,11212,2043,10,1.810504
1,2,11,"q11_case1",27,22528,149937062,5766300,512,11210,2043,10,1.862769
1,2,11,"q11_case1",28,22528,155703328,5766266,512,11208,2043,10,1.915583
1,2,11,"q11_case1",29,22528,161469574,5766246,512,11206,2043,10,1.971390
1,2,11,"q11_case1",30,22528,167235814,5766240,512,11204,2043,10,2.024519
1,2,11,"q11_case1",31,22528,173002016,5766202,512,11202,2043,10,2.076595
1,2,11,"q11_case1",32,22528,178768190,5766174,512,11200,2042,10,2.128244
1,2,11,"q11_case1",33,22528,184534378,5766188,512,11198,2042,10,2.184317
1,2,11,"q11_case1",34,22528,190301026,5766648,512,11196,2042,10,2.236093
1,2,11,"q11_case1",35,22528,196067088,5766062,512,11194,2041,10,2.288470
1,2,11,"q11_case1",36,22528,201833093,5766005,512,11192,2041,10,2.339768
1,2,11,"q11_case1",37,22528,207599714,5766621,512,11190,2041,10,2.390833
1,2,11,"q11_case1",38,22528,213365765,5766051,512,11188,2041,10,2.442906
1,2,11,"q11_case1",39,22528,219131778,5766013,512,11186,2041,10,2.493990
1,2,11,"q11_case1",40,22528,224897740,5765962,512,11184,2041,10,2.546813
1,2,11,"q11_case1",41,22528,230663852,5766112,512,11182,2041,10,2.600128
1,2,11,"q11_case1",42,22528,236429987,5766135,512,11180,2041,10,2.653884
1,2,11,"q11_case1",43,22528,242196184,5766197,512,11178,2041,10,2.707044
1,2,11,"q11_case1",44,22528,247962531,5766347,512,11176,2041,10,2.760131
1,2,11,"q11_case1",45,22528,253728820,5766289,512,11174,2041,10,2.815031
1,2,11,"q11_case1",46,22528,259495118,5766298,512,11172,2041,10,2.867625
1,2,11,"q11_case1",47,22528,265261420,5766302,512,11170,2041,10,2.928819
1,2,11,"q11_case1",48,22528,271027640,5766220,512,11168,2041,10,2.985858
1,2,11,"q11_case1",49,22528,276793829,5766189,512,11166,2041,10,3.048554
1,2,11,"q11_case1",50,22528,282559978,5766149,512,11164,2041,10,3.111337
1,2,11,"q11_case1",51,22528,288326154,5766176,512,11162,2041,10,3.167092
1,2,11,"q11_case1",52,22528,294092334,5766180,512,11160,2041,10,3.233437
1,2,11,"q11_case1",53,22528,299858576,5766242,512,11158,2040,10,3.293583
1,2,11,"q11_case1",54,22528,305624787,5766211,512,11156,2040,10,3.351737
1,2,11,"q11_case1",55,22528,311391439,5766652,512,11154,2039,10,3.408007
1,2,11,"q11_case1",56,22528,317157495,5766056,512,11152,2039,10,3.465550
1,2,11,"q11_case1",57,22528,322924117,5766622,512,11150,2039,10,3.529205
1,2,11,"q11_case1",58,22528,328690114,5765997,512,11148,2039,10,3.598423
1,2,11,"q11_case1",59,22528,334456192,5766078,512,11146,2039,10,3.666101
1,2,11,"q11_case1",60,22528,340222539,5766347,512,11144,2039,10,3.730261
1,2,11,"q11_case1",61,22528,345988865,5766326,512,11142,2038,10,3.798794
1,2,11,"q11_case1",62,22528,351755114,5766249,512,11140,2038,10,3.859536
1,2,11,"q11_case1",63,22528,357521761,5766647,512,11138,2038,10,3.914368
1,2,11,"q11_case1",64,22528,363287826,5766065,512,11136,2038,10,3.972188
1,2,11,"q11_case1",65,22528,369053880,5766054,512,11134,2038,10,4.047691
1,2,11,"q11_case1",66,22528,374819894,5766014,512,11132,2038,10,4.105632
1,2,11,"q11_case1",67,22528,380586037,5766143,512,11130,2038,10,4.165044
1,2,11,"q11_case1",68,22528,386352193,5766156,512,11128,2038,10,4.238535
1,2,11,"q11_case1",69,22528,392118488,5766295,512,11126,2038,10,4.312521
1,2,11,"q11_case1",70,22528,397884793,5766305,512,11124,2038,10,4.374046
1,2,11,"q11_case1",71,22528,403651072,5766279,512,11122,2038,10,4.433875
1,2,11,"q11_case1",72,22528,409417340,5766268,512,11120,2038,10,4.494283
1,2,11,"q11_case1",73,22528,415183560,5766220,512,11118,2038,10,4.557702
1,2,11,"q11_case1",74,22528,420949772,5766212,512,11116,2038,10,4.620692
1,2,11,"q11_case1",75,22528,426715992,5766220,512,11114,2038,10,4.690717
