case_index,total_cases,dim,case_name,depth,parent_count,edge_count,logical_candidates,chunk_candidates,chunks,recent_fingerprints,recent_table_slots,topk_mode,topk_tiles,topk_tile_candidates,valid_candidates,host_prepare_sec,device_alloc_sec,h2d_sec,recent_update_sec,kernel_sec,sort_sec,d2h_sec,cpu_merge_sec,topk_select_sec,retained_select_sec,materialize_sec,total_sec,outer_parent_prepare_sec,outer_recent_snapshot_sec,outer_cuda_call_sec,outer_candidate_convert_sec,outer_progress_write_sec,outer_recent_add_sec,outer_layer_sec
1,2,11,"q11_case1",1,1,11264,11264,11264,1,1,2,3,1,11264,11264,0.000181,0.000121,0.000166,0.000000,0.347069,0.000595,0.000306,0.000866,0.000936,0.000722,0.001005,0.438971,0.000025,0.000001,0.437278,0.001077,0.000095,0.000090,0.440950
1,2,11,"q11_case1",2,512,11264,5767168,5767168,1,513,2048,2,1,5767168,5766656,0.003072,0.000778,0.000721,0.000000,0.002158,0.003672,0.000735,0.018796,0.022246,0.003921,0.001468,0.043854,0.011591,0.000018,0.038615,0.006459,0.000038,0.000164,0.063547
1,2,11,"q11_case1",3,512,11264,5767168,5767168,1,1025,4096,2,1,5767168,5766145,0.003000,0.000039,0.000423,0.000000,0.002042,0.003638,0.000611,0.018896,0.020212,0.003912,0.001457,0.036100,0.011378,0.000058,0.030888,0.006347,0.000036,0.000125,0.057656
1,2,11,"q11_case1",4,512,11264,5767168,5767168,1,1537,4096,2,1,5767168,5766509,0.003072,0.000028,0.000381,0.000087,0.001975,0.003641,0.000642,0.019045,0.019642,0.004346,0.001548,0.036097,0.011351,0.000000,0.030346,0.006566,0.000044,0.000252,0.055290
1,2,11,"q11_case1",5,512,11264,5767168,5767168,1,2049,8192,2,1,5767168,5766459,0.003075,0.000038,0.000485,0.000000,0.002100,0.003670,0.000615,0.019349,0.019805,0.003844,0.001339,0.035714,0.011513,0.000115,0.030684,0.006606,0.000048,0.000127,0.055027
1,2,11,"q11_case1",6,512,11264,5767168,5767168,1,2561,8192,2,1,5767168,5766403,0.003014,0.000000,0.000371,0.000046,0.002120,0.003659,0.000654,0.019037,0.020376,0.003920,0.001333,0.036138,0.011171,0.000000,0.031036,0.006340,0.000035,0.000144,0.055148
1,2,11,"q11_case1",7,512,11264,5767168,5767168,1,3073,8192,2,1,5767168,5766369,0.002962,0.000000,0.000362,0.000035,0.002011,0.003617,0.000622,0.019153,0.020280,0.004049,0.001688,0.036540,0.010790,0.000000,0.030979,0.006729,0.000165,0.000196,0.055469
1,2,11,"q11_case1",8,512,11264,5767168,5767168,1,3585,8192,2,1,5767168,5766292,0.002976,0.000001,0.000443,0.000057,0.002000,0.003627,0.000595,0.019081,0.020374,0.004194,0.001174,0.036148,0.010957,0.000000,0.030943,0.006701,0.000029,0.000472,0.055189
1,2,11,"q11_case1",9,512,11264,5767168,5767168,1,4097,16384,2,1,5767168,5766650,0.003227,0.000039,0.000513,0.000000,0.002115,0.003609,0.000737,0.019192,0.020444,0.003995,0.000975,0.036474,0.011037,0.000220,0.031673,0.006639,0.000027,0.000149,0.055317
1,2,11,"q11_case1",10,512,11264,5767168,5767168,1,4609,16384,2,1,5767168,5766149,0.003033,0.000001,0.000409,0.000034,0.002124,0.003643,0.000660,0.018975,0.019569,0.003953,0.000988,0.035155,0.011329,0.000000,0.030377,0.006701,0.000029,0.000152,0.054067
1,2,11,"q11_case1",11,512,11264,5767168,5767168,1,5121,16384,2,1,5767168,5766505,0.003061,0.000001,0.000373,0.000063,0.002066,0.003651,0.000627,0.018744,0.019212,0.004038,0.000915,0.034835,0.010960,0.000000,0.030044,0.006437,0.000028,0.000160,0.053140
1,2,11,"q11_case1",12,512,11264,5767168,5767168,1,5633,16384,2,1,5767168,5766437,0.002975,0.000001,0.000460,0.000045,0.002030,0.003617,0.000611,0.018441,0.018853,0.003906,0.000911,0.034198,0.010859,0.000000,0.029546,0.006310,0.000030,0.000161,0.052799
1,2,11,"q11_case1",13,512,11264,5767168,5767168,1,6145,16384,2,1,5767168,5766389,0.003022,0.000001,0.000509,0.000040,0.002061,0.003636,0.000656,0.018639,0.019308,0.003863,0.000859,0.034598,0.010883,0.000000,0.030044,0.006453,0.000039,0.000149,0.053301
1,2,11,"q11_case1",14,512,11264,5767168,5767168,1,6657,16384,2,1,5767168,5766631,0.002966,0.000000,0.000346,0.000039,0.002005,0.003618,0.000650,0.019134,0.019624,0.003835,0.000911,0.034769,0.010979,0.000000,0.030167,0.006263,0.000028,0.000147,0.053374
1,2,11,"q11_case1",15,512,11264,5767168,5767168,1,7169,16384,2,1,5767168,5766146,0.002968,0.000000,0.000377,0.000034,0.001986,0.003646,0.000610,0.018120,0.018700,0.003923,0.000962,0.033921,0.011266,0.000000,0.029182,0.006233,0.000028,0.000168,0.052784
1,2,11,"q11_case1",16,512,11264,5767168,5767168,1,7681,16384,2,1,5767168,5766148,0.002979,0.000000,0.000388,0.000037,0.001973,0.003661,0.000608,0.018404,0.018977,0.003756,0.001079,0.034125,0.011246,0.000000,0.029416,0.006305,0.000029,0.000763,0.053634
1,2,11,"q11_case1",17,512,11264,5767168,5767168,1,8193,32768,2,1,5767168,5766422,0.003378,0.000040,0.000513,0.000000,0.002127,0.003628,0.000630,0.019401,0.019987,0.003933,0.001059,0.035919,0.010460,0.000322,0.031071,0.006449,0.000028,0.000146,0.054110
1,2,11,"q11_case1",18,512,11264,5767168,5767168,1,8705,32768,2,1,5767168,5766371,0.002940,0.000001,0.000366,0.000051,0.002150,0.003612,0.000589,0.018367,0.018850,0.004127,0.001047,0.034466,0.011236,0.000000,0.029437,0.006441,0.000029,0.000150,0.053101
1,2,11,"q11_case1",19,512,11264,5767168,5767168,1,9217,32768,2,1,5767168,5766340,0.003084,0.000000,0.000337,0.000038,0.002166,0.003623,0.000642,0.020418,0.020949,0.003859,0.000868,0.036302,0.010877,0.000000,0.031728,0.006369,0.000028,0.000144,0.054558
1,2,11,"q11_case1",20,512,11264,5767168,5767168,1,9729,32768,2,1,5767168,5766646,0.002973,0.000001,0.000449,0.000035,0.002137,0.003629,0.000620,0.018707,0.019213,0.003892,0.001107,0.034833,0.010911,0.000000,0.029976,0.006383,0.000030,0.000151,0.053587
1,2,11,"q11_case1",21,512,11264,5767168,5767168,1,10241,32768,2,1,5767168,5766146,0.002954,0.000000,0.000452,0.000041,0.002117,0.003622,0.000632,0.019975,0.020478,0.004440,0.001017,0.036497,0.010821,0.000000,0.031188,0.006536,0.000029,0.000202,0.055311
1,2,11,"q11_case1",22,512,11264,5767168,5767168,1,10753,32768,2,1,5767168,5766510,0.002991,0.000001,0.000390,0.000036,0.002109,0.003642,0.000659,0.019193,0.019883,0.003934,0.001118,0.035470,0.011135,0.000000,0.030557,0.006431,0.000030,0.000154,0.054414
1,2,11,"q11_case1",23,512,11264,5767168,5767168,1,11265,32768,2,1,5767168,5766163,0.002961,0.000001,0.000373,0.000033,0.002094,0.003635,0.000610,0.018292,0.018882,0.003937,0.000616,0.033860,0.010431,0.000000,0.029455,0.006536,0.000029,0.000174,0.052089
1,2,11,"q11_case1",24,512,11264,5767168,5767168,1,11777,32768,2,1,5767168,5766352,0.002953,0.000001,0.000380,0.000024,0.002057,0.003609,0.000623,0.018615,0.019152,0.004291,0.000567,0.034448,0.010171,0.000000,0.029741,0.007069,0.000030,0.000162,0.053039
