case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,2,12,"q12_case1",1,1000000,24576,24576,1024,24574,4074,12,0.456416
1,2,12,"q12_case1",2,1000000,25189376,25164800,1024,24572,4073,12,0.757439
1,2,12,"q12_case1",3,1000000,50353391,25164015,1024,24570,4072,12,1.029678
1,2,12,"q12_case1",4,1000000,75518181,25164790,1024,24568,4071,12,1.299465
1,2,12,"q12_case1",5,1000000,100682246,25164065,1024,24566,4071,12,1.564856
1,2,12,"q12_case1",6,1000000,125846676,25164430,1024,24564,4070,12,1.841723
1,2,12,"q12_case1",7,1000000,151010726,25164050,1024,24562,4069,12,2.118872
1,2,12,"q12_case1",8,1000000,176175502,25164776,1024,24560,4068,12,2.384452
1,2,12,"q12_case1",9,1000000,201339589,25164087,1024,24558,4068,12,2.656181
1,2,12,"q12_case1",10,1000000,226503643,25164054,1024,24556,4067,12,2.935325
1,2,12,"q12_case1",11,1000000,251667691,25164048,1024,24554,4066,12,3.220069
1,2,12,"q12_case1",12,1000000,276832346,25164655,1024,24552,4065,12,3.530284
1,2,12,"q12_case1",13,1000000,301996491,25164145,1024,24550,4065,12,3.821688
1,2,12,"q12_case1",14,1000000,327160560,25164069,1024,24548,4064,12,4.111325
1,2,12,"q12_case1",15,1000000,352324554,25163994,1024,24546,4063,12,4.400386
1,2,12,"q12_case1",16,1000000,377489121,25164567,1024,24544,4063,12,4.664995
1,2,12,"q12_case1",17,1000000,402653149,25164028,1024,24542,4063,12,4.947995
1,2,12,"q12_case1",18,1000000,427817141,25163992,1024,24540,4063,12,5.227741
1,2,12,"q12_case1",19,1000000,452981012,25163871,1024,24538,4063,12,5.508731
1,2,12,"q12_case1",20,1000000,478144969,25163957,1024,24536,4063,12,5.789384
1,2,12,"q12_case1",21,1000000,503309110,25164141,1024,24534,4063,12,6.079823
1,2,12,"q12_case1",22,1000000,528473356,25164246,1024,24532,4063,12,6.393192
1,2,12,"q12_case1",23,1000000,553637514,25164158,1024,24530,4062,12,6.701837
1,2,12,"q12_case1",24,1000000,578801644,25164130,1024,24528,4062,12,6.987584
1,2,12,"q12_case1",25,1000000,603966392,25164748,1024,24526,4061,12,7.274813
1,2,12,"q12_case1",26,1000000,629130427,25164035,1024,24524,4061,12,7.557834
1,2,12,"q12_case1",27,1000000,654295180,25164753,1024,24522,4061,12,7.854404
1,2,12,"q12_case1",28,1000000,679459260,25164080,1024,24520,4061,12,8.139400
1,2,12,"q12_case1",29,1000000,704623336,25164076,1024,24518,4060,12,8.426408
1,2,12,"q12_case1",30,1000000,729787432,25164096,1024,24516,4059,12,8.705853
1,2,12,"q12_case1",31,1000000,754952197,25164765,1024,24514,4059,12,8.987151
1,2,12,"q12_case1",32,1000000,780116578,25164381,1024,24512,4058,12,9.271237
