case_index,total_cases,dim,case_name,depth,parent_count,edge_count,logical_candidates,chunk_candidates,chunks,recent_fingerprints,recent_table_slots,topk_mode,topk_tiles,topk_tile_candidates,valid_candidates,host_prepare_sec,device_alloc_sec,h2d_sec,recent_update_sec,kernel_sec,sort_sec,d2h_sec,cpu_merge_sec,topk_select_sec,retained_select_sec,materialize_sec,total_sec,outer_parent_prepare_sec,outer_recent_snapshot_sec,outer_cuda_call_sec,outer_candidate_convert_sec,outer_progress_write_sec,outer_recent_add_sec,outer_layer_sec
1,2,12,"q12_case1",1,1,24576,24576,24576,1,1,2,2,16,0,24576,0.000410,0.000111,0.000153,0.000000,0.356445,0.001325,0.001055,0.001475,0.003940,0.002631,0.005167,0.458780,0.000045,0.000001,0.451033,0.000853,0.000058,0.000189,0.461473
1,2,12,"q12_case1",2,1024,24576,25165824,25165824,1,1025,4096,2,16,0,25164800,0.011774,0.002059,0.000937,0.000000,0.046124,0.154258,0.001026,0.001439,0.201894,0.004268,0.006161,0.250784,0.045800,0.000064,0.240580,0.000880,0.000039,0.000274,0.301969
1,2,12,"q12_case1",3,1024,24576,25165824,25165824,1,2049,8192,2,16,0,25164015,0.011588,0.000044,0.000977,0.000000,0.047219,0.149495,0.001105,0.001446,0.192686,0.002754,0.005511,0.221009,0.044798,0.000121,0.212962,0.000863,0.000037,0.000214,0.270364
1,2,12,"q12_case1",4,1024,24576,25165824,25165824,1,3073,8192,2,16,0,25164790,0.011421,0.000026,0.000868,0.000076,0.046265,0.149513,0.000986,0.001416,0.191865,0.002883,0.004974,0.219234,0.044683,0.000000,0.211608,0.000813,0.000031,0.000434,0.268629
1,2,12,"q12_case1",5,1024,24576,25165824,25165824,1,4097,16384,2,16,0,25164065,0.012191,0.000062,0.000967,0.000000,0.047285,0.144368,0.001036,0.001497,0.187403,0.002760,0.005648,0.216685,0.043947,0.000189,0.208494,0.000827,0.000033,0.000215,0.264809
1,2,12,"q12_case1",6,1024,24576,25165824,25165824,1,5121,16384,2,16,0,25164430,0.011687,0.000000,0.000883,0.000044,0.046600,0.151256,0.001148,0.001478,0.194082,0.004070,0.005879,0.224233,0.046874,0.000000,0.214506,0.000881,0.000554,0.000240,0.276629
1,2,12,"q12_case1",7,1024,24576,25165824,25165824,1,6145,16384,2,16,0,25164050,0.011499,0.000001,0.000866,0.000058,0.046990,0.153881,0.001133,0.001378,0.196759,0.002744,0.005593,0.225023,0.046237,0.000000,0.216894,0.000816,0.000023,0.000236,0.275286
1,2,12,"q12_case1",8,1024,24576,25165824,25165824,1,7169,16384,2,16,0,25164776,0.011287,0.000000,0.000821,0.000044,0.046408,0.146205,0.001163,0.001411,0.188858,0.002793,0.006041,0.216983,0.043996,0.000000,0.208354,0.000815,0.000026,0.000776,0.265579
1,2,12,"q12_case1",9,1024,24576,25165824,25165824,1,8193,32768,2,16,0,25164087,0.011780,0.000038,0.000913,0.000000,0.046776,0.149865,0.001018,0.001465,0.192352,0.002876,0.004817,0.220466,0.044003,0.000431,0.212981,0.000824,0.000026,0.000243,0.268990
1,2,12,"q12_case1",10,1024,24576,25165824,25165824,1,9217,32768,2,16,0,25164054,0.011576,0.000000,0.000820,0.000034,0.047236,0.150991,0.001792,0.001904,0.195909,0.005549,0.006763,0.228916,0.044694,0.000000,0.216913,0.001054,0.000032,0.000590,0.280511
