case_id,state_hex,state_perm,bfs_steps,bfs_path,astar_steps,astar_path,strong_astar_steps,strong_astar_path,beam_steps,beam_path,batcher_swaps,batcher_path,batcher_success
0,0x76543210,"0 1 2 3 4 5 6 7",0,"",0,"",0,"",0,"",10,"23 67 46 57 23 67 46 57 45 67",1
1,0x67543210,"0 1 2 3 4 5 7 6",1,"67",1,"67",1,"67",1,"67",9,"23 46 57 23 67 46 57 45 67",1
2,0x75643210,"0 1 2 3 4 6 5 7",3,"45 46 45",3,"45 46 45",3,"45 46 45",3,"45 46 45",9,"23 67 46 23 67 46 57 45 67",1
3,0x57643210,"0 1 2 3 4 6 7 5",2,"57 67",2,"57 67",2,"57 67",2,"57 67",8,"23 46 23 67 46 57 45 67",1
4,0x65743210,"0 1 2 3 4 7 5 6",2,"67 57",2,"67 57",2,"67 57",2,"67 57",10,"23 67 46 23 45 67 46 57 45 67",1
5,0x56743210,"0 1 2 3 4 7 6 5",1,"57",1,"57",1,"57",1,"57",9,"23 46 23 45 67 46 57 45 67",1
6,0x76453210,"0 1 2 3 5 4 6 7",1,"45",1,"45",1,"45",1,"45",11,"23 45 67 46 57 23 67 46 57 45 67",1
7,0x67453210,"0 1 2 3 5 4 7 6",2,"45 67",2,"45 67",2,"45 67",2,"45 67",10,"23 45 46 57 23 67 46 57 45 67",1
8,0x74653210,"0 1 2 3 5 6 4 7",2,"45 46",2,"45 46",2,"45 46",2,"45 46",8,"23 67 46 23 46 57 45 67",1
9,0x47653210,"0 1 2 3 5 6 7 4",3,"45 67 46",3,"45 67 46",3,"45 67 46",3,"57 45 67",7,"23 46 23 46 57 45 67",1
10,0x64753210,"0 1 2 3 5 7 4 6",3,"45 46 67",3,"45 46 67",3,"45 46 67",3,"67 57 45",9,"23 67 46 23 45 46 57 45 67",1
11,0x46753210,"0 1 2 3 5 7 6 4",2,"57 45",2,"57 45",2,"57 45",2,"57 45",8,"23 46 23 45 46 57 45 67",1
12,0x75463210,"0 1 2 3 6 4 5 7",2,"46 45",2,"46 45",2,"46 45",2,"46 45",10,"23 45 67 46 23 67 46 57 45 67",1
13,0x57463210,"0 1 2 3 6 4 7 5",3,"45 57 67",3,"45 57 67",3,"45 57 67",3,"57 67 46",9,"23 45 46 23 67 46 57 45 67",1
14,0x74563210,"0 1 2 3 6 5 4 7",1,"46",1,"46",1,"46",1,"46",9,"23 45 67 46 23 46 57 45 67",1
15,0x47563210,"0 1 2 3 6 5 7 4",2,"67 46",2,"67 46",2,"67 46",2,"67 46",8,"23 45 46 23 46 57 45 67",1
16,0x54763210,"0 1 2 3 6 7 4 5",2,"46 57",2,"46 57",2,"46 57",2,"46 57",8,"23 67 23 45 46 57 45 67",1
17,0x45763210,"0 1 2 3 6 7 5 4",3,"46 57 45",3,"46 57 45",3,"46 57 45",3,"67 46 57",7,"23 23 45 46 57 45 67",1
18,0x65473210,"0 1 2 3 7 4 5 6",3,"45 67 57",3,"45 67 57",3,"45 67 57",3,"46 67 45",11,"23 45 67 46 23 45 67 46 57 45 67",1
19,0x56473210,"0 1 2 3 7 4 6 5",2,"45 57",2,"45 57",2,"45 57",2,"45 57",10,"23 45 46 23 45 67 46 57 45 67",1
20,0x64573210,"0 1 2 3 7 5 4 6",2,"46 67",2,"46 67",2,"46 67",2,"46 67",10,"23 45 67 46 23 45 46 57 45 67",1
21,0x46573210,"0 1 2 3 7 5 6 4",3,"45 57 45",3,"45 57 45",3,"45 57 45",3,"57 45 57",9,"23 45 46 23 45 46 57 45 67",1
22,0x54673210,"0 1 2 3 7 6 4 5",3,"45 46 57",3,"45 46 57",3,"45 46 57",3,"45 46 57",9,"23 45 67 23 45 46 57 45 67",1
23,0x45673210,"0 1 2 3 7 6 5 4",4,"45 46 57 45",4,"45 46 57 45",4,"45 46 57 45",4,"45 57 46 45",8,"23 45 23 45 46 57 45 67",1
24,0x76534210,"0 1 2 4 3 5 6 7",5,"04 01 13 01 04",5,"04 01 13 01 04",5,"04 01 13 01 04",5,"46 67 37 67 46",11,"23 67 46 57 23 67 37 46 57 45 67",1
25,0x67534210,"0 1 2 4 3 5 7 6",6,"04 01 13 01 04 67",6,"46 67 37 67 46 67",6,"67 04 01 13 01 04",6,"46 67 37 57 45 57",10,"23 46 57 23 67 37 46 57 45 67",1
26,0x75634210,"0 1 2 4 3 6 5 7",6,"13 45 15 13 46 45",6,"45 46 37 57 37 45",6,"23 46 26 23 45 46",6,"46 67 37 57 45 67",10,"23 67 46 23 67 37 46 57 45 67",1
27,0x57634210,"0 1 2 4 3 6 7 5",5,"45 57 37 67 46",5,"45 57 37 67 46",5,"45 57 37 67 46",5,"45 57 37 67 46",9,"23 46 23 67 37 46 57 45 67",1
28,0x65734210,"0 1 2 4 3 7 5 6",5,"46 67 37 57 45",5,"46 67 37 57 45",5,"46 67 37 57 45",5,"46 67 37 57 45",11,"23 67 46 23 45 67 37 46 57 45 67",1
29,0x56734210,"0 1 2 4 3 7 6 5",6,"04 01 13 01 04 57",6,"45 57 37 57 45 57",6,"57 04 01 13 01 04",6,"37 57 45 15 13 15",10,"23 46 23 45 67 37 46 57 45 67",1
30,0x76354210,"0 1 2 4 5 3 6 7",4,"13 15 13 45",4,"13 15 13 45",4,"13 15 13 45",4,"13 15 45 13",12,"23 45 67 46 57 23 67 37 46 57 45 67",1
31,0x67354210,"0 1 2 4 5 3 7 6",5,"13 15 13 45 67",5,"67 13 15 13 45",5,"13 15 13 45 67",5,"57 37 45 67 46",11,"23 45 46 57 23 67 37 46 57 45 67",1
32,0x73654210,"0 1 2 4 5 6 3 7",5,"23 26 23 45 46",5,"45 23 26 23 46",5,"26 23 26 45 46",5,"67 37 57 45 67",9,"23 67 46 23 37 46 57 45 67",1
33,0x37654210,"0 1 2 4 5 6 7 3",4,"37 45 67 46",4,"37 45 67 46",4,"37 45 67 46",4,"37 57 45 67",8,"23 46 23 37 46 57 45 67",1
34,0x63754210,"0 1 2 4 5 7 3 6",4,"67 37 57 45",4,"67 37 57 45",4,"67 37 57 45",4,"67 37 57 45",10,"23 67 46 23 45 37 46 57 45 67",1
35,0x36754210,"0 1 2 4 5 7 6 3",3,"37 57 45",3,"37 57 45",3,"37 57 45",3,"37 57 45",9,"23 46 23 45 37 46 57 45 67",1
36,0x75364210,"0 1 2 4 6 3 5 7",5,"13 15 13 46 45",5,"46 13 15 13 45",5,"13 15 13 46 45",5,"57 37 67 46 57",11,"23 45 67 46 23 67 37 46 57 45 67",1
37,0x57364210,"0 1 2 4 6 3 7 5",4,"57 37 67 46",4,"57 37 67 46",4,"57 37 67 46",4,"57 37 67 46",10,"23 45 46 23 67 37 46 57 45 67",1
38,0x73564210,"0 1 2 4 6 5 3 7",4,"23 26 23 46",4,"23 26 23 46",4,"23 26 23 46",4,"37 67 46 37",10,"23 45 67 46 23 37 46 57 45 67",1
39,0x37564210,"0 1 2 4 6 5 7 3",3,"37 67 46",3,"37 67 46",3,"37 67 46",3,"37 67 46",9,"23 45 46 23 37 46 57 45 67",1
40,0x53764210,"0 1 2 4 6 7 3 5",5,"23 26 23 46 57",5,"57 23 26 23 46",5,"26 23 26 46 57",5,"67 37 57 46 45",9,"23 67 23 45 37 46 57 45 67",1
41,0x35764210,"0 1 2 4 6 7 5 3",4,"37 46 57 45",4,"37 46 57 45",4,"37 46 57 45",4,"37 67 57 46",8,"23 23 45 37 46 57 45 67",1
42,0x65374210,"0 1 2 4 7 3 5 6",6,"13 15 13 45 67 57",6,"67 57 37 45 57 45",6,"13 15 13 45 67 57",6,"57 37 46 67 45 46",12,"23 45 67 46 23 45 67 37 46 57 45 67",1
43,0x56374210,"0 1 2 4 7 3 6 5",5,"13 15 13 45 57",5,"57 37 45 57 45",5,"13 15 13 45 57",5,"13 15 45 57 13",11,"23 45 46 23 45 67 37 46 57 45 67",1
44,0x63574210,"0 1 2 4 7 5 3 6",5,"23 26 23 46 67",5,"67 37 45 57 45",5,"26 23 26 46 67",5,"23 26 46 67 23",11,"23 45 67 46 23 45 37 46 57 45 67",1
45,0x36574210,"0 1 2 4 7 5 6 3",4,"37 45 57 45",4,"37 45 57 45",4,"37 45 57 45",4,"37 57 45 57",10,"23 45 46 23 45 37 46 57 45 67",1
46,0x53674210,"0 1 2 4 7 6 3 5",6,"23 26 23 45 46 57",6,"57 67 37 45 57 45",6,"26 23 26 45 46 57",6,"67 37 45 57 46 45",10,"23 45 67 23 45 37 46 57 45 67",1
47,0x35674210,"0 1 2 4 7 6 5 3",5,"37 45 46 57 45",5,"37 45 46 57 45",5,"37 45 46 57 45",5,"37 46 45 67 46",9,"23 45 23 45 37 46 57 45 67",1
48,0x76435210,"0 1 2 5 3 4 6 7",4,"13 45 15 13",4,"45 13 15 13",4,"13 45 15 13",4,"45 57 37 57",10,"23 67 46 57 23 67 37 46 57 67",1
49,0x67435210,"0 1 2 5 3 4 7 6",5,"13 45 15 13 67",5,"45 67 13 15 13",5,"67 13 45 15 13",5,"67 45 15 13 15",9,"23 46 57 23 67 37 46 57 67",1
50,0x74635210,"0 1 2 5 3 6 4 7",5,"13 45 15 13 46",5,"45 46 13 15 13",5,"13 45 15 13 46",5,"46 37 57 67 37",9,"23 67 46 23 67 37 46 57 67",1
51,0x47635210,"0 1 2 5 3 6 7 4",6,"13 45 15 13 67 46",6,"45 67 46 37 57 37",6,"67 13 45 15 13 46",6,"45 57 37 67 46 45",8,"23 46 23 67 37 46 57 67",1
52,0x64735210,"0 1 2 5 3 7 4 6",4,"46 67 37 57",4,"46 67 37 57",4,"46 67 37 57",4,"46 67 37 57",10,"23 67 46 23 45 67 37 46 57 67",1
53,0x46735210,"0 1 2 5 3 7 6 4",5,"13 57 45 15 13",5,"57 45 13 15 13",5,"67 46 67 37 57",5,"46 67 37 57 46",9,"23 46 23 45 67 37 46 57 67",1
54,0x76345210,"0 1 2 5 4 3 6 7",3,"13 15 13",3,"13 15 13",3,"13 15 13",3,"57 37 57",11,"23 45 67 46 57 23 67 37 46 57 67",1
55,0x67345210,"0 1 2 5 4 3 7 6",4,"13 15 13 67",4,"67 13 15 13",4,"13 15 13 67",4,"67 37 57 37",10,"23 45 46 57 23 67 37 46 57 67",1
56,0x73645210,"0 1 2 5 4 6 3 7",4,"37 57 67 37",4,"67 37 57 67",4,"67 37 57 67",4,"37 57 67 37",8,"23 67 46 23 37 46 57 67",1
57,0x37645210,"0 1 2 5 4 6 7 3",3,"37 57 67",3,"37 57 67",3,"37 57 67",3,"37 57 67",7,"23 46 23 37 46 57 67",1
58,0x63745210,"0 1 2 5 4 7 3 6",3,"67 37 57",3,"67 37 57",3,"67 37 57",3,"67 37 57",9,"23 67 46 23 45 37 46 57 67",1
59,0x36745210,"0 1 2 5 4 7 6 3",2,"37 57",2,"37 57",2,"37 57",2,"37 57",8,"23 46 23 45 37 46 57 67",1
60,0x74365210,"0 1 2 5 6 3 4 7",4,"13 15 13 46",4,"46 13 15 13",4,"13 15 13 46",4,"46 57 37 57",10,"23 45 67 46 23 67 37 46 57 67",1
61,0x47365210,"0 1 2 5 6 3 7 4",5,"13 15 13 67 46",5,"57 37 46 45 57",5,"13 15 13 67 46",5,"67 46 15 13 15",9,"23 45 46 23 67 37 46 57 67",1
62,0x73465210,"0 1 2 5 6 4 3 7",5,"13 46 45 15 13",5,"67 37 46 45 57",5,"26 23 26 46 45",5,"46 45 57 37 57",9,"23 45 67 46 23 37 46 57 67",1
63,0x37465210,"0 1 2 5 6 4 7 3",4,"37 45 57 67",4,"37 45 57 67",4,"37 45 57 67",4,"37 45 57 67",8,"23 45 46 23 37 46 57 67",1
64,0x43765210,"0 1 2 5 6 7 3 4",4,"67 37 46 57",4,"67 37 46 57",4,"67 37 46 57",4,"67 37 57 46",8,"23 67 23 45 37 46 57 67",1
65,0x34765210,"0 1 2 5 6 7 4 3",3,"37 46 57",3,"37 46 57",3,"37 46 57",3,"37 57 46",7,"23 23 45 37 46 57 67",1
66,0x64375210,"0 1 2 5 7 3 4 6",5,"13 15 13 46 67",5,"46 67 13 15 13",5,"13 15 13 46 67",5,"67 57 37 45 57",11,"23 45 67 46 23 45 67 37 46 57 67",1
