completed_case,total_cases,dim,case_name,total_dist,strong_lb,exact_status,exact_steps,exact_sec,exact_path_valid,beam_visited_mode,beam_status,beam_steps,beam_sec,beam_path_valid,optimized_status,optimized_steps,optimized_improvement,optimized_word_reductions,optimized_sec,optimized_path_valid,batcher_success,batcher_swaps,batcher_sec,batcher_path_valid,elapsed_sec
1,38,4,"q4_case1",26,14,skipped,-1,0.000000,0,layer_only,solved,14,0.576336,1,disabled,14,0,0,0.000000,0,1,40,0.000033,1,0.589392
2,38,4,"q4_case2",32,16,skipped,-1,0.000000,0,layer_only,solved,18,0.194830,1,disabled,18,0,0,0.000000,0,1,34,0.000027,1,0.794877
3,38,4,"q4_case3",32,17,skipped,-1,0.000000,0,layer_only,solved,17,0.183027,1,disabled,17,0,0,0.000000,0,1,37,0.000030,1,0.986009
4,38,4,"q4_case4",36,18,skipped,-1,0.000000,0,layer_only,solved,18,0.191136,1,disabled,18,0,0,0.000000,0,1,40,0.000027,1,1.185682
5,38,4,"q4_case5",32,16,skipped,-1,0.000000,0,layer_only,solved,18,0.189244,1,disabled,18,0,0,0.000000,0,1,34,0.000029,1,1.386308
6,38,4,"q4_case6",30,15,skipped,-1,0.000000,0,layer_only,solved,19,0.203068,1,disabled,19,0,0,0.000000,0,1,41,0.000028,1,1.598834
7,38,4,"q4_case7",28,14,skipped,-1,0.000000,0,layer_only,solved,16,0.168949,1,disabled,16,0,0,0.000000,0,1,40,0.000029,1,1.775133
8,38,4,"q4_case8",8,5,skipped,-1,0.000000,0,layer_only,solved,7,0.059231,1,disabled,7,0,0,0.000000,0,1,37,0.000025,1,1.841434
9,38,4,"q4_case9",30,15,skipped,-1,0.000000,0,layer_only,solved,17,0.184517,1,disabled,17,0,0,0.000000,0,1,39,0.000031,1,2.033373
10,38,4,"q4_case10",32,17,skipped,-1,0.000000,0,layer_only,solved,19,0.208593,1,disabled,19,0,0,0.000000,0,1,41,0.000029,1,2.252612
11,38,4,"q4_case11",26,13,skipped,-1,0.000000,0,layer_only,solved,15,0.152221,1,disabled,15,0,0,0.000000,0,1,37,0.000033,1,2.412232
12,38,4,"q4_case12",26,14,skipped,-1,0.000000,0,layer_only,solved,14,0.139723,1,disabled,14,0,0,0.000000,0,1,36,0.000027,1,2.558162
13,38,4,"q4_case13",18,9,skipped,-1,0.000000,0,layer_only,solved,9,0.082860,1,disabled,9,0,0,0.000000,0,1,37,0.000031,1,2.648026
14,38,4,"q4_case14",42,21,skipped,-1,0.000000,0,layer_only,solved,21,0.252075,1,disabled,21,0,0,0.000000,0,1,37,0.000032,1,2.911360
15,38,4,"q4_case15",18,9,skipped,-1,0.000000,0,layer_only,solved,9,0.088298,1,disabled,9,0,0,0.000000,0,1,39,0.000034,1,3.006821
16,38,4,"q4_case16",22,12,skipped,-1,0.000000,0,layer_only,solved,12,0.120287,1,disabled,12,0,0,0.000000,0,1,32,0.000026,1,3.134010
17,38,4,"q4_case17",12,7,skipped,-1,0.000000,0,layer_only,solved,7,0.058530,1,disabled,7,0,0,0.000000,0,1,33,0.000025,1,3.199578
18,38,4,"q4_case18",12,6,skipped,-1,0.000000,0,layer_only,solved,6,0.046364,1,disabled,6,0,0,0.000000,0,1,28,0.000024,1,3.251974
19,38,4,"q4_case19",18,9,skipped,-1,0.000000,0,layer_only,solved,9,0.082275,1,disabled,9,0,0,0.000000,0,1,45,0.000052,1,3.342559
20,38,4,"q4_case20",26,13,skipped,-1,0.000000,0,layer_only,solved,15,0.159720,1,disabled,15,0,0,0.000000,0,1,39,0.000029,1,3.509067
21,38,4,"q4_case21",30,15,skipped,-1,0.000000,0,layer_only,solved,17,0.184887,1,disabled,17,0,0,0.000000,0,1,35,0.000029,1,3.701705
22,38,4,"q4_case22",32,17,skipped,-1,0.000000,0,layer_only,solved,17,0.175477,1,disabled,17,0,0,0.000000,0,1,41,0.000030,1,3.885724
23,38,4,"q4_case23",32,17,skipped,-1,0.000000,0,layer_only,solved,19,0.206575,1,disabled,19,0,0,0.000000,0,1,39,0.000028,1,4.102174
24,38,4,"q4_case24",26,13,skipped,-1,0.000000,0,layer_only,solved,15,0.153242,1,disabled,15,0,0,0.000000,0,1,39,0.000029,1,4.262466
25,38,5,"q5_case1",80,40,skipped,-1,0.000000,0,layer_only,solved,40,1.226336,1,disabled,40,0,0,0.000000,0,1,124,0.000040,1,5.501305
26,38,5,"q5_case2",78,40,skipped,-1,0.000000,0,layer_only,solved,44,1.380546,1,disabled,44,0,0,0.000000,0,1,108,0.000047,1,6.893368
27,38,6,"q6_case1",192,96,skipped,-1,0.000000,0,layer_only,solved,110,7.703101,1,disabled,110,0,0,0.000000,0,1,344,0.000056,1,14.613651
28,38,6,"q6_case2",166,84,skipped,-1,0.000000,0,layer_only,solved,94,6.612001,1,disabled,94,0,0,0.000000,0,1,318,0.000055,1,21.242285
29,38,7,"q7_case1",448,224,skipped,-1,0.000000,0,layer_only,solved,268,20.211038,1,disabled,268,0,0,0.000000,0,1,906,0.000097,1,41.474253
30,38,7,"q7_case2",392,196,skipped,-1,0.000000,0,layer_only,solved,244,18.058385,1,disabled,244,0,0,0.000000,0,1,808,0.000123,1,59.561253
31,38,8,"q8_case1",1024,512,skipped,-1,0.000000,0,layer_only,solved,634,52.381371,1,disabled,634,0,0,0.000000,0,1,2318,0.000194,1,111.984755
32,38,8,"q8_case2",876,438,skipped,-1,0.000000,0,layer_only,solved,556,46.419406,1,disabled,556,0,0,0.000000,0,1,2102,0.000144,1,158.442513
33,38,9,"q9_case1",2304,1152,skipped,-1,0.000000,0,layer_only,solved,1464,137.966356,1,disabled,1464,0,0,0.000000,0,1,5774,0.000297,1,296.493382
34,38,9,"q9_case2",2118,1059,skipped,-1,0.000000,0,layer_only,solved,1351,127.959999,1,disabled,1351,0,0,0.000000,0,1,5199,0.000286,1,424.524903
35,38,10,"q10_case1",5120,2560,skipped,-1,0.000000,0,layer_only,solved,3350,314.982571,1,disabled,3350,0,0,0.000000,0,1,13998,0.000553,1,739.684358
36,38,10,"q10_case2",4608,2305,skipped,-1,0.000000,0,layer_only,solved,3019,290.577001,1,disabled,3019,0,0,0.000000,0,1,13113,0.000672,1,1030.443696
37,38,11,"q11_case1",11264,5632,skipped,-1,0.000000,0,layer_only,solved,8048,760.112274,1,disabled,8048,0,0,0.000000,0,1,33484,0.001250,1,1791.035153
38,38,11,"q11_case2",10044,5023,skipped,-1,0.000000,0,layer_only,solved,6845,671.242163,1,disabled,6845,0,0,0.000000,0,1,31209,0.001062,1,2462.679474
