case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,1,8,"q8_case1",1,2048,1024,1024,128,1022,248,8,0.001776
1,1,8,"q8_case1",2,2048,124039,123015,128,1020,248,8,0.173969
1,1,8,"q8_case1",3,2048,253934,129895,128,1018,248,8,0.365034
1,1,8,"q8_case1",4,2048,384597,130663,128,1016,248,8,0.592577
1,1,8,"q8_case1",5,2048,515355,130758,128,1014,247,8,0.810450
1,1,8,"q8_case1",6,2048,646217,130862,128,1012,247,8,1.086656
1,1,8,"q8_case1",7,2048,775680,129463,128,1010,247,8,1.297494
1,1,8,"q8_case1",8,2048,906258,130578,128,1008,246,8,1.557711
1,1,8,"q8_case1",9,2048,1037043,130785,128,1006,246,8,1.807825
1,1,8,"q8_case1",10,2048,1160678,123635,128,1004,246,8,2.135795
1,1,8,"q8_case1",11,2048,1290917,130239,128,1002,246,8,2.342171
1,1,8,"q8_case1",12,2048,1421609,130692,128,1000,245,8,2.551366
1,1,8,"q8_case1",13,2048,1552413,130804,128,998,245,8,2.761927
1,1,8,"q8_case1",14,2048,1682070,129657,128,996,245,8,2.977352
1,1,8,"q8_case1",15,2048,1812645,130575,128,994,244,8,3.246544
1,1,8,"q8_case1",16,2048,1943400,130755,128,992,244,8,3.499014
1,1,8,"q8_case1",17,2048,2066783,123383,128,990,244,8,3.731016
1,1,8,"q8_case1",18,2048,2196919,130136,128,988,244,8,4.010197
1,1,8,"q8_case1",19,2048,2327606,130687,128,986,243,8,4.517252
1,1,8,"q8_case1",20,2048,2458379,130773,128,984,243,8,4.776889
1,1,8,"q8_case1",21,2048,2587244,128865,128,982,243,8,5.017913
1,1,8,"q8_case1",22,2048,2717724,130480,128,980,243,8,5.269651
1,1,8,"q8_case1",23,2048,2848452,130728,128,978,243,8,5.539680
1,1,8,"q8_case1",24,2048,2979202,130750,128,976,242,8,5.759859
1,1,8,"q8_case1",25,2048,3109972,130770,128,974,242,8,6.007870
1,1,8,"q8_case1",26,2048,3238270,128298,128,972,242,8,6.279476
1,1,8,"q8_case1",27,2048,3368663,130393,128,970,242,8,6.527106
