case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,1,9,"q9_case1",1,4608,2304,2304,256,2302,504,8,0.125209
1,1,9,"q9_case1",2,4608,559625,557321,256,2300,504,8,0.210477
1,1,9,"q9_case1",3,4608,1146066,586441,256,2298,504,8,0.488046
1,1,9,"q9_case1",4,4608,1734765,588699,256,2296,504,8,0.558869
1,1,9,"q9_case1",5,4608,2323860,589095,256,2294,503,8,0.833473
1,1,9,"q9_case1",6,4608,2913035,589175,256,2292,503,8,0.904124
1,1,9,"q9_case1",7,4608,3487039,574004,256,2290,503,8,1.170797
1,1,9,"q9_case1",8,4608,4074827,587788,256,2288,503,8,1.445193
1,1,9,"q9_case1",9,4608,4663763,588936,256,2286,502,8,1.511041
1,1,9,"q9_case1",10,4608,5252936,589173,256,2284,502,8,1.790187
1,1,9,"q9_case1",11,4608,5810009,557073,256,2282,502,8,1.861709
1,1,9,"q9_case1",12,4608,6396398,586389,256,2280,501,8,2.136918
1,1,9,"q9_case1",13,4608,6984990,588592,256,2278,501,8,2.274849
1,1,9,"q9_case1",14,4608,7542310,557320,256,2276,500,8,2.504064
1,1,9,"q9_case1",15,4608,8128961,586651,256,2274,500,8,2.798863
1,1,9,"q9_case1",16,4608,8702308,573347,256,2272,499,8,2.869903
1,1,9,"q9_case1",17,4608,9289543,587235,256,2270,499,8,3.169696
1,1,9,"q9_case1",18,4608,9846477,556934,256,2268,498,8,3.244900
1,1,9,"q9_case1",19,4608,10432633,586156,256,2266,498,8,3.544422
1,1,9,"q9_case1",20,4608,10989691,557058,256,2264,497,8,3.771484
1,1,9,"q9_case1",21,4608,11575815,586124,256,2262,497,8,4.032038
1,1,9,"q9_case1",22,4608,12132869,557054,256,2260,496,8,4.347551
1,1,9,"q9_case1",23,4608,12718994,586125,256,2258,496,8,4.423631
1,1,9,"q9_case1",24,4608,13276294,557300,256,2256,496,8,4.825421
1,1,9,"q9_case1",25,4608,13862694,586400,256,2254,496,8,4.903742
1,1,9,"q9_case1",26,4608,14451422,588728,256,2252,495,8,5.399026
1,1,9,"q9_case1",27,4608,15040232,588810,256,2250,495,8,5.993654
1,1,9,"q9_case1",28,4608,15597528,557296,256,2248,495,8,6.064506
1,1,9,"q9_case1",29,4608,16184019,586491,256,2246,494,8,6.737556
1,1,9,"q9_case1",30,4608,16772493,588474,256,2244,494,8,6.810774
1,1,9,"q9_case1",31,4608,17329538,557045,256,2242,494,8,7.571537
1,1,9,"q9_case1",32,4608,17915820,586282,256,2240,494,8,7.644821
1,1,9,"q9_case1",33,4608,18504407,588587,256,2238,493,8,8.443477
1,1,9,"q9_case1",34,4608,19093297,588890,256,2236,493,8,9.319195
1,1,9,"q9_case1",35,4608,19672097,578800,256,2234,493,8,9.390721
1,1,9,"q9_case1",36,4608,20260070,587973,256,2232,492,8,10.281342
1,1,9,"q9_case1",37,4608,20849056,588986,256,2230,492,8,10.354973
1,1,9,"q9_case1",38,4608,21406605,557549,256,2228,492,8,11.351661
1,1,9,"q9_case1",39,4608,21993220,586615,256,2226,492,8,11.961842
1,1,9,"q9_case1",40,4608,22581820,588600,256,2224,491,8,12.603942
1,1,9,"q9_case1",41,4608,23170731,588911,256,2222,491,8,13.638630
1,1,9,"q9_case1",42,4608,23744047,573316,256,2220,491,8,13.713544
1,1,9,"q9_case1",43,4608,24331423,587376,256,2218,490,8,14.784100
1,1,9,"q9_case1",44,4608,24920202,588779,256,2216,490,8,14.854043
1,1,9,"q9_case1",45,4608,25477743,557541,256,2214,490,8,15.971233
1,1,9,"q9_case1",46,4608,26064351,586608,256,2212,489,8,17.037062
