case_index,total_cases,dim,case_name,depth,visited_states,pending_states,disk_bytes,worker_threads,generation_sec,visited_sec,selection_sec
1,1,9,"q9_case1",1,2305,2305,131072,24,0.000247,0.001215,0.000179
1,1,9,"q9_case1",2,559626,559626,131072,24,0.034883,0.037436,0.010824
1,1,9,"q9_case1",3,1146067,146067,23572480,24,0.018430,0.246163,0.010869
1,1,9,"q9_case1",4,1734766,734766,23572480,24,0.018048,0.039929,0.010694
1,1,9,"q9_case1",5,2323861,323861,46804992,24,0.016673,0.244851,0.010601
1,1,9,"q9_case1",6,2913036,913036,46804992,24,0.016720,0.041838,0.009643
1,1,9,"q9_case1",7,3487040,487040,69963776,24,0.016912,0.238204,0.009761
1,1,9,"q9_case1",8,4074828,74828,93429760,24,0.016976,0.243451,0.011140
1,1,9,"q9_case1",9,4663764,663764,93429760,24,0.016577,0.036719,0.010798
1,1,9,"q9_case1",10,5252937,252937,116678656,24,0.016510,0.250500,0.010088
1,1,9,"q9_case1",11,5810010,810010,116678656,24,0.017910,0.041330,0.010078
1,1,9,"q9_case1",12,6396399,396399,139870208,24,0.017052,0.245955,0.010191
1,1,9,"q9_case1",13,6984991,797491,144089088,24,0.016438,0.109202,0.009902
1,1,9,"q9_case1",14,7542311,542311,163176448,24,0.016741,0.201109,0.009519
1,1,9,"q9_case1",15,8128962,128962,186613760,24,0.016340,0.266786,0.009663
1,1,9,"q9_case1",16,8702309,702309,186613760,24,0.017215,0.041033,0.010933
1,1,9,"q9_case1",17,9289544,289544,210006016,24,0.017385,0.268860,0.011782
1,1,9,"q9_case1",18,9846478,846478,210006016,24,0.017216,0.041858,0.013309
1,1,9,"q9_case1",19,10432634,432634,233132032,24,0.019009,0.265979,0.011745
1,1,9,"q9_case1",20,10989692,677192,240594944,24,0.017960,0.194854,0.011412
1,1,9,"q9_case1",21,11575816,575816,256741376,24,0.018077,0.226130,0.012813
1,1,9,"q9_case1",22,12132870,132870,279584768,24,0.018411,0.280762,0.013170
