case_index,total_cases,dim,case_name,depth,max_depth,expanded,layer_candidates,retained,best_total_dist,best_misplaced,best_max_dist,elapsed_sec
1,1,9,"q9_case2",1,4608,2304,2304,256,2116,509,8,0.154590
1,1,9,"q9_case2",2,4608,559740,557436,256,2114,508,8,0.253561
1,1,9,"q9_case2",3,4608,1143872,584132,256,2112,507,8,0.534014
1,1,9,"q9_case2",4,4608,1731634,587762,256,2110,506,8,0.605002
1,1,9,"q9_case2",5,4608,2319735,588101,256,2108,505,8,0.870147
1,1,9,"q9_case2",6,4608,2907761,588026,256,2106,504,8,0.940307
1,1,9,"q9_case2",7,4608,3495708,587947,256,2104,503,8,1.214661
1,1,9,"q9_case2",8,4608,4083556,587848,256,2102,502,8,1.493412
1,1,9,"q9_case2",9,4608,4671268,587712,256,2100,501,8,1.560062
1,1,9,"q9_case2",10,4608,5258970,587702,256,2098,500,8,1.825762
1,1,9,"q9_case2",11,4608,5846531,587561,256,2096,499,8,1.897328
1,1,9,"q9_case2",12,4608,6434052,587521,256,2094,498,8,2.168548
1,1,9,"q9_case2",13,4608,7020809,586757,256,2092,498,8,2.450880
1,1,9,"q9_case2",14,4608,7602979,582170,256,2090,498,8,2.573788
1,1,9,"q9_case2",15,4608,8190358,587379,256,2088,497,8,2.845832
1,1,9,"q9_case2",16,4608,8779239,588881,256,2086,497,8,2.921291
1,1,9,"q9_case2",17,4608,9363775,584536,256,2084,496,8,3.246551
1,1,9,"q9_case2",18,4608,9952266,588491,256,2082,496,8,3.323280
1,1,9,"q9_case2",19,4608,10536483,584217,256,2080,495,8,3.633990
1,1,9,"q9_case2",20,4608,11124820,588337,256,2078,495,8,3.944240
1,1,9,"q9_case2",21,4608,11709275,584455,256,2076,495,8,4.023575
1,1,9,"q9_case2",22,4608,12297552,588277,256,2074,494,8,4.361657
1,1,9,"q9_case2",23,4608,12886544,588992,256,2072,494,8,4.441774
1,1,9,"q9_case2",24,4608,13474565,588021,256,2070,494,8,4.851063
1,1,9,"q9_case2",25,4608,14063271,588706,256,2068,493,8,5.354463
1,1,9,"q9_case2",26,4608,14652309,589038,256,2066,493,8,5.421379
1,1,9,"q9_case2",27,4608,15240158,587849,256,2064,493,8,6.016450
1,1,9,"q9_case2",28,4608,15828881,588723,256,2062,492,8,6.093985
1,1,9,"q9_case2",29,4608,16417898,589017,256,2060,492,8,6.787112
1,1,9,"q9_case2",30,4608,16999507,581609,256,2058,492,8,7.426213
1,1,9,"q9_case2",31,4608,17587553,588046,256,2056,492,8,8.030677
1,1,9,"q9_case2",32,4608,18176331,588778,256,2054,491,8,8.880552
1,1,9,"q9_case2",33,4608,18765225,588894,256,2052,491,8,8.960394
1,1,9,"q9_case2",34,4608,19322421,557196,256,2050,490,8,9.925831
1,1,9,"q9_case2",35,4608,19909130,586709,256,2048,490,8,10.002292
