case_index,total_cases,dim,case_name,depth,visited_states,pending_states,disk_bytes,worker_threads,generation_sec,visited_sec,selection_sec
1,1,9,"q9_case2",1,2305,2305,131072,24,0.000237,0.001062,0.000169
1,1,9,"q9_case2",2,559741,559741,131072,24,0.046506,0.040772,0.009913
1,1,9,"q9_case2",3,1143873,143873,23502848,24,0.018095,0.250528,0.009796
1,1,9,"q9_case2",4,1731635,731635,23502848,24,0.017988,0.041790,0.009062
1,1,9,"q9_case2",5,2319736,319736,46723072,24,0.015382,0.238574,0.009099
1,1,9,"q9_case2",6,2907762,907762,46723072,24,0.016926,0.041850,0.008998
1,1,9,"q9_case2",7,3495709,495709,70103040,24,0.017650,0.245563,0.009491
1,1,9,"q9_case2",8,4083557,83557,93360128,24,0.018439,0.248102,0.009519
1,1,9,"q9_case2",9,4671269,671269,93360128,24,0.016174,0.039777,0.008755
1,1,9,"q9_case2",10,5258971,258971,116670464,24,0.016658,0.237827,0.009506
1,1,9,"q9_case2",11,5846532,846532,116670464,24,0.016776,0.043240,0.009161
1,1,9,"q9_case2",12,6434053,434053,140066816,24,0.017007,0.242754,0.009239
1,1,9,"q9_case2",13,7020810,83310,161861632,24,0.018989,0.252350,0.008550
1,1,9,"q9_case2",14,7602980,602980,163291136,24,0.016668,0.094358,0.009756
1,1,9,"q9_case2",15,8190359,190359,186568704,24,0.016480,0.243691,0.010019
1,1,9,"q9_case2",16,8779240,779240,186568704,24,0.017649,0.043775,0.012038
1,1,9,"q9_case2",17,9363776,363776,209870848,24,0.020248,0.289103,0.012908
1,1,9,"q9_case2",18,9952267,952267,209870848,24,0.018283,0.045376,0.009669
1,1,9,"q9_case2",19,10536484,536484,233332736,24,0.018909,0.276477,0.012854
1,1,9,"q9_case2",20,11124821,124821,256147456,24,0.017716,0.280010,0.009251
1,1,9,"q9_case2",21,11709276,709276,256147456,24,0.018294,0.046581,0.011204
1,1,9,"q9_case2",22,12297553,297553,279908352,24,0.019329,0.306034,0.009568
1,1,9,"q9_case2",23,12886545,886545,279908352,24,0.018540,0.045659,0.012642
1,1,9,"q9_case2",24,13474566,474566,303419392,24,0.018056,0.375298,0.013379
1,1,9,"q9_case2",25,14063272,63272,327012352,24,0.017964,0.472977,0.009564
1,1,9,"q9_case2",26,14652310,652310,327012352,24,0.017258,0.038233,0.008998
1,1,9,"q9_case2",27,15240159,240159,349720576,24,0.017565,0.562871,0.011996
1,1,9,"q9_case2",28,15828882,828882,349720576,24,0.018858,0.044276,0.011117
1,1,9,"q9_case2",29,16417899,417899,372891648,24,0.018828,0.661748,0.009776
1,1,9,"q9_case2",30,16999508,437008,386187264,24,0.018450,0.606941,0.011138
1,1,9,"q9_case2",31,17587554,587554,396517376,24,0.017589,0.572779,0.011712
1,1,9,"q9_case2",32,18176332,176332,419921920,24,0.017666,0.816464,0.013342
1,1,9,"q9_case2",33,18765226,765226,419921920,24,0.017918,0.046902,0.011887
1,1,9,"q9_case2",34,19322422,322422,443162624,24,0.018568,0.933566,0.010473
1,1,9,"q9_case2",35,19909131,909131,443162624,24,0.018263,0.043618,0.011626
1,1,9,"q9_case2",36,20494722,494722,466235392,24,0.021604,0.950303,0.012882
1,1,9,"q9_case2",37,21083152,83152,489680896,24,0.017658,0.999923,0.009988
1,1,9,"q9_case2",38,21672259,672259,489680896,24,0.020136,0.043570,0.012391
1,1,9,"q9_case2",39,22231459,231459,512835584,24,0.020053,1.053837,0.011074
1,1,9,"q9_case2",40,22819125,819125,512835584,24,0.019408,0.047232,0.012205
1,1,9,"q9_case2",41,23404694,404694,536227840,24,0.019023,1.069192,0.012133
1,1,9,"q9_case2",42,23977930,915430,537714688,24,0.021508,0.524506,0.011247
1,1,9,"q9_case2",43,24534881,534881,560099328,24,0.017982,1.129411,0.011779
1,1,9,"q9_case2",44,25121120,121120,582942720,24,0.018974,1.220135,0.011334
1,1,9,"q9_case2",45,25706149,706149,582942720,24,0.019156,0.043281,0.011831
1,1,9,"q9_case2",46,26294420,294420,605921280,24,0.018240,1.218463,0.012256
1,1,9,"q9_case2",47,26883420,883420,605921280,24,0.018677,0.042164,0.010737
1,1,9,"q9_case2",48,27472616,472616,629506048,24,0.016496,1.227761,0.012643
1,1,9,"q9_case2",49,28057602,57602,652705792,24,0.017839,1.305692,0.012597
1,1,9,"q9_case2",50,28646066,646066,652705792,24,0.020525,0.048699,0.012675
1,1,9,"q9_case2",51,29233380,233380,675872768,24,0.018273,1.307137,0.012027
1,1,9,"q9_case2",52,29821922,821922,675872768,24,0.017117,0.043232,0.012686
1,1,9,"q9_case2",53,30410933,410933,699318272,24,0.017853,1.319987,0.009402
1,1,9,"q9_case2",54,30999956,312456,715137024,24,0.018447,1.119326,0.009812
1,1,9,"q9_case2",55,31588924,588924,722710528,24,0.017827,0.920257,0.010600
1,1,9,"q9_case2",56,32177859,177859,746270720,24,0.019841,1.379024,0.011670
1,1,9,"q9_case2",57,32766827,766827,746270720,24,0.018446,0.044136,0.013262
1,1,9,"q9_case2",58,33355808,355808,769765376,24,0.019158,1.400578,0.011246
1,1,9,"q9_case2",59,33944714,944714,769765376,24,0.018278,0.041738,0.010725
1,1,9,"q9_case2",60,34533172,533172,792948736,24,0.020413,1.436407,0.009856
1,1,9,"q9_case2",61,35122014,122014,816218112,24,0.017042,1.423994,0.011515
1,1,9,"q9_case2",62,35711016,711016,816218112,24,0.018799,0.042030,0.012516
1,1,9,"q9_case2",63,36300068,300068,839340032,24,0.018628,1.478124,0.013542
1,1,9,"q9_case2",64,36889185,889185,839340032,24,0.019652,0.041354,0.011741
1,1,9,"q9_case2",65,37478236,478236,862187520,24,0.018582,1.447746,0.013026
1,1,9,"q9_case2",66,38066863,66863,885579776,24,0.018084,1.462703,0.012996
1,1,9,"q9_case2",67,38655675,655675,885579776,24,0.017290,0.038013,0.010277
1,1,9,"q9_case2",68,39244738,244738,908836864,24,0.017798,1.485852,0.013618
1,1,9,"q9_case2",69,39833906,833906,908836864,24,0.017681,0.044711,0.013013
1,1,9,"q9_case2",70,40423143,423143,932638720,24,0.018811,1.455827,0.009480
1,1,9,"q9_case2",71,41011101,323601,948363264,24,0.017709,1.261357,0.012245
1,1,9,"q9_case2",72,41600097,600097,955842560,24,0.017878,1.019815,0.012720
1,1,9,"q9_case2",73,42189253,189253,979210240,24,0.019333,1.721196,0.012023
1,1,9,"q9_case2",74,42778351,778351,979210240,24,0.018652,0.045268,0.012770
1,1,9,"q9_case2",75,43367362,367362,1002487808,24,0.018572,1.682040,0.013589
1,1,9,"q9_case2",76,43956344,831344,1005404160,24,0.017947,0.874362,0.011480
1,1,9,"q9_case2",77,44545426,545426,1026088960,24,0.018204,1.518616,0.012155
1,1,9,"q9_case2",78,45134624,134624,1049251840,24,0.018717,1.598888,0.009284
1,1,9,"q9_case2",79,45723795,723795,1049251840,24,0.020557,0.046275,0.011705
1,1,9,"q9_case2",80,46312882,312882,1071927296,24,0.018246,1.627209,0.009367
1,1,9,"q9_case2",81,46873993,873993,1071927296,24,0.017789,0.040340,0.009431
1,1,9,"q9_case2",82,47452877,452877,1095163904,24,0.017685,1.592459,0.013048
1,1,9,"q9_case2",83,48040755,165755,1116090368,24,0.017066,1.489948,0.012996
1,1,9,"q9_case2",84,48629684,629684,1118924800,24,0.017888,0.758612,0.011423
1,1,9,"q9_case2",85,49213807,213807,1142902784,24,0.019278,1.611986,0.010492
1,1,9,"q9_case2",86,49802094,802094,1142902784,24,0.020369,0.040643,0.011124
1,1,9,"q9_case2",87,50391073,391073,1166307328,24,0.018653,1.625507,0.012287
1,1,9,"q9_case2",88,50980196,667696,1173364736,24,0.017374,1.084642,0.012601
1,1,9,"q9_case2",89,51569187,569187,1189244928,24,0.019865,1.398638,0.011554
1,1,9,"q9_case2",90,52158114,158114,1212555264,24,0.018041,1.610802,0.009343
1,1,9,"q9_case2",91,52747061,747061,1212555264,24,0.020836,0.045563,0.012302
1,1,9,"q9_case2",92,53336038,336038,1235509248,24,0.018231,1.654334,0.010373
