completed_case,total_cases,dim,case_name,total_dist,strong_lb,exact_status,exact_steps,exact_sec,exact_path_valid,beam_status,beam_steps,beam_sec,beam_path_valid,batcher_success,batcher_swaps,batcher_sec,batcher_path_valid,elapsed_sec
1,32,4,"q4_case1",26,14,solved,14,0.002712,1,solved,14,0.065325,1,1,40,0.000006,1,0.077742
2,32,4,"q4_case2",32,16,solved,18,0.027117,1,solved,18,0.075654,1,1,34,0.000004,1,0.200623
3,32,4,"q4_case3",32,17,solved,17,0.023722,1,solved,17,0.059052,1,1,37,0.000004,1,0.297253
4,32,4,"q4_case4",36,18,solved,18,0.014715,1,solved,18,0.072385,1,1,40,0.000003,1,0.396875
5,32,4,"q4_case5",32,16,solved,18,0.017870,1,solved,18,0.062536,1,1,34,0.000004,1,0.489014
6,32,4,"q4_case6",30,15,solved,19,1.086399,1,solved,19,0.102042,1,1,41,0.000015,1,2.130270
7,32,4,"q4_case7",28,14,solved,16,0.022895,1,solved,16,0.087081,1,1,40,0.000008,1,2.260299
8,32,4,"q4_case8",8,5,solved,7,0.002740,1,solved,7,0.024110,1,1,37,0.000005,1,2.294220
9,32,4,"q4_case9",30,15,solved,17,0.020836,1,solved,17,0.086593,1,1,39,0.000008,1,2.421431
10,32,4,"q4_case10",32,17,solved,19,0.574652,1,solved,19,0.085737,1,1,41,0.000008,1,3.317427
11,32,4,"q4_case11",26,13,solved,15,0.003905,1,solved,15,0.062460,1,1,37,0.000007,1,3.392244
12,32,4,"q4_case12",26,14,solved,14,0.017683,1,solved,14,0.045043,1,1,36,0.000004,1,3.466486
13,32,4,"q4_case13",18,9,solved,9,0.002149,1,solved,9,0.024292,1,1,37,0.000005,1,3.497624
14,32,4,"q4_case14",42,21,solved,21,2.673576,1,solved,21,0.080242,1,1,37,0.000004,1,7.414654
15,32,4,"q4_case15",18,9,solved,9,0.002544,1,solved,9,0.023514,1,1,39,0.000003,1,7.445564
16,32,4,"q4_case16",22,12,solved,12,0.003355,1,solved,12,0.035526,1,1,32,0.000003,1,7.490378
17,32,4,"q4_case17",12,7,solved,7,0.002114,1,solved,7,0.016403,1,1,33,0.000005,1,7.513353
18,32,4,"q4_case18",12,6,solved,6,0.002011,1,solved,6,0.012670,1,1,28,0.000003,1,7.532356
19,32,4,"q4_case19",18,9,solved,9,0.001949,1,solved,9,0.024721,1,1,45,0.000003,1,7.563918
20,32,4,"q4_case20",26,13,solved,15,0.003391,1,solved,15,0.047805,1,1,39,0.000004,1,7.621628
21,32,4,"q4_case21",30,15,solved,17,0.015231,1,solved,17,0.058058,1,1,35,0.000004,1,7.706276
22,32,4,"q4_case22",32,17,solved,17,0.057471,1,solved,17,0.055539,1,1,41,0.000004,1,7.847566
23,32,4,"q4_case23",32,17,solved,19,0.515270,1,solved,19,0.087163,1,1,39,0.000006,1,8.694975
24,32,4,"q4_case24",26,13,solved,15,0.003620,1,solved,15,0.053788,1,1,39,0.000006,1,8.762720
25,32,5,"q5_case1",80,40,skipped,-1,0.000000,0,solved,42,0.591923,1,1,124,0.000011,1,9.467988
26,32,5,"q5_case2",78,40,skipped,-1,0.000000,0,solved,44,0.698449,1,1,108,0.000014,1,10.284040
27,32,6,"q6_case1",192,96,skipped,-1,0.000000,0,solved,106,6.668748,1,1,344,0.000108,1,17.972258
28,32,6,"q6_case2",166,84,skipped,-1,0.000000,0,solved,92,5.560740,1,1,318,0.000156,1,24.472751
29,32,7,"q7_case1",448,224,skipped,-1,0.000000,0,solved,254,50.056448,1,1,906,0.001010,1,85.429108
30,32,7,"q7_case2",392,196,skipped,-1,0.000000,0,solved,240,49.952926,1,1,808,0.001479,1,146.843531
