steps,bfs_count,astar_count,strong_astar_count,beam_count,batcher_count,bfs_ratio,astar_ratio,strong_astar_ratio,beam_ratio,batcher_ratio
0,1,1,1,1,0,2.48015873015873e-05,2.48015873015873e-05,2.48015873015873e-05,2.48015873015873e-05,0.0
1,12,12,12,12,0,0.00029761904761904765,0.00029761904761904765,0.00029761904761904765,0.00029761904761904765,0.0
2,90,90,90,90,0,0.002232142857142857,0.002232142857142857,0.002232142857142857,0.002232142857142857,0.0
3,476,476,476,476,0,0.011805555555555555,0.011805555555555555,0.011805555555555555,0.011805555555555555,0.0
4,1903,1903,1903,1903,4,0.047197420634920634,0.047197420634920634,0.047197420634920634,0.047197420634920634,9.92063492063492e-05
5,5472,5472,5472,5472,32,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.0007936507936507937
6,10388,10388,10388,10388,152,0.25763888888888886,0.25763888888888886,0.25763888888888886,0.25763888888888886,0.00376984126984127
7,11756,11756,11756,11756,528,0.29156746031746034,0.29156746031746034,0.29156746031746034,0.29156746031746034,0.013095238095238096
8,7347,7347,7347,7347,1404,0.1822172619047619,0.1822172619047619,0.1822172619047619,0.1822172619047619,0.03482142857142857
9,2408,2408,2408,2408,2928,0.059722222222222225,0.059722222222222225,0.059722222222222225,0.059722222222222225,0.07261904761904762
10,430,430,430,430,4880,0.01066468253968254,0.01066468253968254,0.01066468253968254,0.01066468253968254,0.12103174603174603
11,36,36,36,36,6592,0.0008928571428571428,0.0008928571428571428,0.0008928571428571428,0.0008928571428571428,0.1634920634920635
12,1,1,1,1,7280,2.48015873015873e-05,2.48015873015873e-05,2.48015873015873e-05,2.48015873015873e-05,0.18055555555555555
13,0,0,0,0,6592,0.0,0.0,0.0,0.0,0.1634920634920635
14,0,0,0,0,4880,0.0,0.0,0.0,0.0,0.12103174603174603
15,0,0,0,0,2928,0.0,0.0,0.0,0.0,0.07261904761904762
16,0,0,0,0,1404,0.0,0.0,0.0,0.0,0.03482142857142857
17,0,0,0,0,528,0.0,0.0,0.0,0.0,0.013095238095238096
18,0,0,0,0,152,0.0,0.0,0.0,0.0,0.00376984126984127
19,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0007936507936507937
20,0,0,0,0,4,0.0,0.0,0.0,0.0,9.92063492063492e-05
